Clients	Avg	Std Dev
2	71994.9476191	1067.92460678
8	232029.666667	4462.4561206
16	509320.890945   3287.22040260768
24	607918.152381	12521.2158292
32	662631.466666	26253.3750712
40	680434.013012	17847.9119803
48	690500.542857	9090.84899104
56	717576.625151	14376.3485692
64	735213.72381	23651.1297543
