S1 Load	S2 Load	S3 Load
515	562	475
484	517	515
466	519	554
529	538	526
508	534	526
480	493	542
523	515	501
529	481	537
545	474	502
520	540	535
522	527	488
511	526	529
489	521	492
532	507	516
530	500	535
536	507	490
505	546	513
483	507	524
512	518	490
523	553	505
569	511	454
521	499	518
507	480	525
512	501	523
527	524	520
471	501	507
529	534	545
489	485	518
524	495	523
468	513	535
535	534	541
508	534	523
530	500	518
539	505	524
517	489	498
535	473	566
468	507	539
522	524	508
523	511	498
533	516	526
506	472	557
520	491	531
523	512	477
478	502	545
538	500	499
508	519	501
499	501	541
524	510	474
534	536	487
525	505	548
502	508	496
490	552	473
494	556	534
480	502	452
523	519	500
523	547	507
465	480	517
514	507	502
505	541	446
518	526	522
548	549	535
502	528	493
566	496	538
526	500	501

AVG: 513.75	513.75	513.75
