S1 Load	S2 Load	S3 Load
528	517	454
483	504	485
525	475	513
521	487	479
504	496	487
484	526	533
497	488	496
475	487	527
531	502	533
488	516	483
462	540	509
471	549	484
529	478	517
515	534	475
535	495	507
488	497	518
488	487	532
488	469	523
501	527	484
482	484	500
503	478	514
493	521	538
496	514	521
472	552	486
496	512	485
485	491	535
497	503	485
476	512	537
506	476	493
550	480	477
544	462	483
497	499	487
510	512	471
471	483	499
508	495	512
511	453	494
459	489	526
497	540	478
502	499	503
469	515	545
478	478	533
527	485	521
520	521	502
477	489	496
537	475	515
487	525	484
514	470	493
509	551	521
499	518	478
501	498	484
483	509	491
527	505	504
499	502	481
475	507	466
529	494	476
517	498	500
481	509	507
501	443	524
506	473	506
498	536	476
515	509	520
521	485	504
511	500	486
507	532	479

AVG: 500.875	500.875	500.859375
