S1 Load	S2 Load	S3 Load
552	532	476
573	526	502
525	555	488
517	550	477
519	546	495
512	538	525
500	512	506
535	522	482
514	548	511
529	509	535
470	538	527
520	538	525
537	500	543
501	531	499
534	514	531
498	479	570
551	506	505
522	521	542
532	507	509
507	502	493
498	486	520
513	519	498
577	497	543
572	514	539
524	511	543
544	501	521
479	535	514
534	525	529
533	511	544
494	495	552
511	509	540
499	523	505
559	487	506
483	479	560
512	549	496
512	465	539
489	507	512
469	539	519
554	518	493
501	514	527
496	501	489
529	513	496
541	514	515
534	501	497
540	546	528
484	531	515
523	537	520
510	501	563
487	523	494
509	520	501
464	523	503
494	528	491
518	522	523
489	489	574
496	519	527
520	525	506
536	554	495
518	490	501
526	537	537
504	505	503
539	527	489
509	497	523
514	482	507
506	548	553

AVG: 517.046875	517.046875	517.046875
