S1 Load	S2 Load	S3 Load
400	438	426
390	433	450
421	427	434
439	391	419
424	403	426
430	444	392
447	435	423
427	425	417
411	446	401
409	418	409
428	414	415
409	435	452
409	414	445
445	402	412
428	418	430
409	415	423
411	416	428
429	413	407
407	422	401
389	420	426
403	419	429
411	469	382
401	425	432
440	408	444
466	399	401
412	402	425
413	395	419
411	428	393
443	429	402
393	430	415
422	426	391
395	406	468
430	404	396
418	422	432
419	423	430
438	391	432
430	443	422
432	454	417
408	402	443
380	424	430
474	400	391
424	430	450
428	415	413
430	401	392
436	428	431
426	429	397
418	444	404
444	431	417
417	441	417
437	383	431
438	403	415
402	383	404
397	417	445
423	403	413
384	445	463
402	429	409
411	393	412
406	421	425
453	410	403
398	386	426
408	435	446
427	445	369
440	441	413
399	407	423

AVG: 419.515625	419.5	419.5
