S1 Load	S2 Load	S3 Load
446	436	444
469	426	460
482	440	436
457	434	452
410	451	442
466	439	455
485	419	443
426	444	459
443	452	461
458	463	477
461	473	446
435	459	438
453	420	488
438	450	448
461	414	447
439	455	485
468	453	436
423	420	496
469	422	443
469	492	466
456	447	475
446	473	450
462	497	438
454	455	471
470	412	443
445	450	444
456	434	451
452	449	436
447	459	451
461	468	456
449	436	469
445	441	420
442	427	451
449	454	456
448	433	470
434	456	441
494	432	457
458	436	469
446	483	452
442	457	442
460	470	476
464	477	466
427	489	424
469	472	455
440	457	451
459	467	432
473	447	467
463	461	465
419	423	466
456	433	470
439	457	457
463	452	445
443	462	429
455	486	460
476	469	445
455	454	435
435	472	416
455	488	470
473	471	447
480	461	449
454	456	442
471	492	431
396	448	462
436	450	450

AVG: 452.734375	452.734375	452.71875
