S1 Load	S2 Load	S3 Load
465	420	457
425	460	420
436	420	473
442	428	462
451	433	441
414	413	427
473	405	463
454	409	428
421	441	405
420	436	437
474	456	445
415	448	402
433	455	471
429	449	459
455	438	419
442	377	461
467	436	424
466	450	449
423	451	474
446	442	387
418	456	438
421	470	444
458	455	445
434	419	435
419	433	457
468	473	452
447	407	420
452	438	452
459	450	437
422	421	434
437	456	425
424	431	430
446	467	460
440	439	432
452	433	409
413	431	442
417	426	448
437	413	427
447	449	437
436	431	416
471	428	419
472	446	420
440	483	427
430	463	409
428	442	427
405	424	451
421	450	483
443	449	408
408	450	471
424	465	428
433	423	432
431	459	419
457	409	418
437	492	411
435	459	428
446	437	472
446	401	440
469	447	436
408	437	454
432	437	431
444	423	469
433	458	472
450	413	456
425	426	460

AVG: 438.84375	438.84375 438.828125
