Clients	Avg	Std Dev
6	2116.00663984	35.2562537456
24	5370.57149564	82.521894903
48	6468.69483568	136.275169082
72	7156.25425889	303.723684439
96	7276.98859826	119.490386159
120	7830.92018779	117.754211896
144	7781.48873239	80.0920158963
168	7684.99530516	345.087866859
192	7563.8544601	532.043185525
