Clients	Avg	Std Dev
6	136748.276526	5005.00517646
24	194970.548122	3117.42779458
48	386030.309859	4915.52932643
72	500037.200973	26978.5198835
96	574584.650637	11825.0177222
120	609540.983568	29145.8292276
144	677951.611335	30861.074279
168	722166.880281	59864.9624643
192	779705.748826	59078.6347065
