Clients	Avg	Std Dev
6	136119.328638	5264.02573335
24	205763.429074	7486.25022653
48	353117.512609	29904.3060219
72	458432.736687	25307.4146378
96	709462.935011	231881.228809
120	723945.365795	27369.7984022
144	860255.192488	53438.4858545
168	886684.823944	25557.5252913
192	1035654.09389	6668.49805066
