Per-Second Benchmark Data,,,,,,,,,,
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses, GET Hits,WAIT Requests,WAIT Average Latency
0,89,0.005836,94734,88,0.005444,94666,0,88,0,0
1,138,0.003819,146887,138,0.003354,148474,0,138,0,0
2,159,0.003182,169239,160,0.003115,172138,0,160,0,0
3,150,0.003433,159660,149,0.003243,160298,0,149,0,0
4,123,0.003418,130927,123,0.003196,132334,0,123,0,0
5,178,0.002895,189449,179,0.003718,192540,0,179,0,0
6,178,0.002647,189463,177,0.002978,190418,0,177,0,0
7,202,0.002538,215013,203,0.002371,218368,0,203,0,0
8,229,0.002305,243728,228,0.002067,245268,0,228,0,0
9,193,0.002685,205425,194,0.00247,208702,0,194,0,0
10,189,0.00256,201170,188,0.002732,202254,0,188,0,0
11,209,0.002402,222451,210,0.002345,225910,0,210,0,0
12,209,0.002461,222450,208,0.002331,223770,0,208,0,0
13,216,0.002376,229906,217,0.002224,233452,0,217,0,0
14,215,0.002419,228852,215,0.002222,231298,0,215,0,0
15,197,0.002619,209694,197,0.002442,211908,0,197,0,0
16,216,0.002323,229919,216,0.002284,232380,0,216,0,0
17,216,0.002392,229911,215,0.002221,231292,0,215,0,0
18,219,0.00238,233100,219,0.00217,235592,0,219,0,0
19,225,0.002284,239495,225,0.002136,242042,0,225,0,0
20,203,0.002497,216074,203,0.002414,218372,0,203,0,0
21,189,0.002758,201170,190,0.00251,204392,0,190,0,0
22,190,0.0027,202222,189,0.002568,203328,0,189,0,0
23,214,0.00242,227782,215,0.002215,231284,0,215,0,0
24,200,0.002689,212892,200,0.002293,215162,0,200,0,0
25,212,0.002368,225653,211,0.002348,226978,0,211,0,0
26,219,0.002348,233104,219,0.002191,235598,0,219,0,0
27,227,0.002378,241618,227,0.00201,243149,1,226,0,0
28,212,0.002517,225657,212,0.002198,228058,0,212,0,0
29,215,0.002326,228845,215,0.002297,231304,0,215,0,0
30,222,0.002285,236291,223,0.002205,239894,0,223,0,0
31,215,0.002409,228834,214,0.002231,230236,0,214,0,0
32,217,0.002403,230974,218,0.002186,233447,1,217,0,0
33,200,0.002631,212865,199,0.00236,214084,0,199,0,0
34,227,0.002296,241624,228,0.002089,245288,0,228,0,0
35,218,0.002291,232020,218,0.002286,234518,0,218,0,0
36,219,0.002451,233085,218,0.002114,234506,0,218,0,0
37,229,0.002289,243744,230,0.002054,247434,0,230,0,0
38,195,0.002237,207557,195,0.002863,209790,0,195,0,0
39,224,0.002352,238433,224,0.002101,240968,0,224,0,0
40,225,0.002362,239494,225,0.002071,242032,0,225,0,0
41,224,0.002307,238415,224,0.002143,240974,0,224,0,0
42,226,0.002359,240544,226,0.002047,243128,0,226,0,0
43,215,0.002443,228846,215,0.002189,231290,0,215,0,0
