,,,,,,,,,,
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses, GET Hits,WAIT Requests,WAIT Average Latency
0,78,0.005366,83030,77,0.00748,245897,1,230,0,0
1,123,0.003939,130916,124,0.004159,397714,0,372,0,0
2,142,0.003328,151151,142,0.003691,455470,0,426,0,0
3,151,0.003365,160723,150,0.003254,481070,0,450,0,0
4,154,0.003233,163923,155,0.003229,497126,0,465,0,0
5,167,0.002896,177746,167,0.003065,535622,0,501,0,0
6,187,0.00263,199054,187,0.002703,599774,0,561,0,0
7,177,0.002723,188390,176,0.00293,564520,0,528,0,0
8,183,0.002695,194788,183,0.002756,586938,0,549,0,0
9,170,0.002626,180956,171,0.003216,548456,0,513,0,0
10,175,0.002676,186270,175,0.003032,561276,0,525,0,0
11,160,0.002921,170305,160,0.003299,513184,0,480,0,0
12,187,0.002597,199029,187,0.00274,597660,2,559,0,0
13,174,0.002759,185213,173,0.002988,554862,0,519,0,0
14,169,0.002801,179876,169,0.003091,542026,0,507,0,0
15,159,0.003253,169224,159,0.003013,508943,1,476,0,0
16,197,0.002468,209692,197,0.002608,631830,0,591,0,0
17,194,0.002576,206484,194,0.002554,622246,0,582,0,0
18,194,0.002366,206486,195,0.002754,625434,0,585,0,0
19,196,0.002553,208629,195,0.00255,625440,0,585,0,0
20,183,0.002781,194781,184,0.002654,590162,0,552,0,0
21,193,0.002548,205422,193,0.002606,617963,1,578,0,0
22,184,0.002492,195841,183,0.002936,583767,3,546,0,0
23,197,0.002381,209676,198,0.002675,635096,0,594,0,0
24,192,0.002704,204363,192,0.002493,615796,0,576,0,0
25,192,0.002612,204358,191,0.002581,611557,1,572,0,0
26,193,0.002427,205415,194,0.002726,621173,1,581,0,0
27,199,0.002594,211804,198,0.002431,634005,1,593,0,0
28,183,0.002671,194777,184,0.002758,589095,1,551,0,0
29,191,0.002503,203289,190,0.002729,609404,0,570,0,0
30,187,0.002525,199045,187,0.002797,599734,0,561,0,0
31,195,0.002422,207550,196,0.002657,628614,0,588,0,0
32,201,0.002378,213930,201,0.002592,644670,0,603,0,0
33,205,0.002431,218214,204,0.002441,654268,0,612,0,0
34,205,0.002371,218208,206,0.002472,659637,1,617,0,0
35,193,0.002619,205432,192,0.002566,615806,0,576,0,0
36,200,0.002388,212886,200,0.002588,641432,0,600,0,0
37,197,0.00248,209679,197,0.002588,630791,1,590,0,0
38,191,0.00258,203303,192,0.002602,615832,0,576,0,0
39,194,0.002397,206490,194,0.00276,622206,0,582,0,0
40,190,0.002537,202235,190,0.002713,609400,0,570,0,0
41,181,0.002753,192647,181,0.002755,580522,0,543,0,0
42,199,0.002472,211812,199,0.002538,638258,0,597,0,0
43,199,0.002372,211816,199,0.002632,637145,1,596,0,0
44,194,0.002577,206497,193,0.002573,619012,0,579,0,0
45,196,0.002525,208629,196,0.002559,628642,0,588,0,0
46,192,0.002556,204363,193,0.002631,617951,1,578,0,0
47,179,0.002809,190533,178,0.002775,570904,0,534,0,0
48,196,0.002449,208619,197,0.002587,629760,2,589,0,0
49,192,0.002625,204369,192,0.00261,615822,0,576,0,0
50,181,0.002591,192655,180,0.00293,577296,0,540,0,0
51,181,0.002747,192666,181,0.002761,580538,0,543,0,0
52,194,0.00253,206493,194,0.0026,622222,0,582,0,0
53,192,0.002571,204365,193,0.002543,617971,1,578,0,0
54,196,0.002443,208625,196,0.002662,628612,0,588,0,0
55,191,0.002623,203308,190,0.002615,609390,0,570,0,0
56,194,0.002499,206497,194,0.002633,621189,1,581,0,0
57,199,0.002553,211803,199,0.002454,637203,1,596,0,0
58,184,0.002721,195860,184,0.002698,588050,2,550,0,0
59,178,0.002644,189469,178,0.002941,570886,0,534,0,0
60,195,0.002482,207552,195,0.002604,625434,0,585,0,0
61,196,0.002417,208620,196,0.002704,628648,0,588,0,0
62,192,0.002591,204374,193,0.002589,619028,0,579,0,0
63,201,0.002433,213924,201,0.002517,644676,0,603,0,0
64,184,0.002602,195844,184,0.002819,590136,0,552,0,0
65,188,0.002549,200109,188,0.00275,602972,0,564,0,0
66,182,0.002704,193740,181,0.002781,579455,1,542,0,0
67,184,0.002544,195851,184,0.002879,590158,0,552,0,0
68,197,0.002282,209686,198,0.002765,635064,0,594,0,0
69,187,0.002518,199032,186,0.002831,595493,1,557,0,0
70,194,0.002498,206503,195,0.002627,625424,0,585,0,0
71,177,0.002781,188386,176,0.002854,564478,0,528,0,0
72,203,0.002299,216076,204,0.002614,654322,0,612,0,0
73,187,0.002714,199044,187,0.002595,599760,0,561,0,0
74,185,0.002632,196923,184,0.002788,590136,0,552,0,0
75,176,0.002825,187331,177,0.00283,566669,1,530,0,0
76,169,0.003024,179881,169,0.002875,539946,2,505,0,0
77,194,0.002616,206488,193,0.002534,619018,0,579,0,0
78,201,0.002386,213920,202,0.002562,647864,0,606,0,0
79,199,0.002425,211814,199,0.002584,638240,0,597,0,0
80,1,0.002157,1065,0,0,0,0,0,0,0
,188.732394366197,,,188.732394366197,,,,,,
Full-Test GET Latency,,,,,,,,,,
Latency (<= msec),Percent,,,,,,,,,
1.3,0.31,,,,,,,,,
1.4,1.68,,,14812,14811,,,,,
1.5,5.28,,,,,,,,,
1.6,11.06,,,,,,,,,
1.7,18.47,,,,,,,,,
1.8,26.97,,,,,,,,,
1.9,35.14,,,,,,,,,
2,43.14,,,,,,,,,
2.1,50.11,,,,,,,,,
2.2,56.26,,,,,,,,,
2.3,61.25,,,,,,,,,
2.4,65.17,,,,,,,,,
2.5,68.37,,,,,,,,,
2.6,70.94,,,,,,,,,
2.7,73.12,,,,,,,,,
2.8,74.9,,,,,,,,,
2.9,76.4,,,,,,,,,
3,77.69,,,,,,,,,
3.1,78.69,,,,,,,,,
3.2,79.48,,,,,,,,,
3.3,80.18,,,,,,,,,
3.4,80.83,,,,,,,,,
3.5,81.38,,,,,,,,,
3.6,81.79,,,,,,,,,
3.7,82.23,,,,,,,,,
3.8,82.58,,,,,,,,,
3.9,82.99,,,,,,,,,
4,83.5,,,,,,,,,
4.1,83.91,,,,,,,,,
4.2,84.44,,,,,,,,,
4.3,85.04,,,,,,,,,
4.4,85.61,,,,,,,,,
4.5,86.37,,,,,,,,,
4.6,87.11,,,,,,,,,
4.7,87.84,,,,,,,,,
4.8,88.62,,,,,,,,,
4.9,89.4,,,,,,,,,
5,90.13,,,,,,,,,
5.1,91.03,,,,,,,,,
5.2,91.84,,,,,,,,,
5.3,92.59,,,,,,,,,
5.4,93.23,,,,,,,,,
5.5,93.86,,,,,,,,,
5.6,94.48,,,,,,,,,
5.7,94.88,,,,,,,,,
5.8,95.27,,,,,,,,,
5.9,95.66,,,,,,,,,
6,96.08,,,,,,,,,
6.1,96.35,,,,,,,,,
6.2,96.55,,,,,,,,,
6.3,96.76,,,,,,,,,
6.4,97,,,,,,,,,
6.5,97.15,,,,,,,,,
6.6,97.28,,,,,,,,,
6.7,97.43,,,,,,,,,
6.8,97.58,,,,,,,,,
6.9,97.66,,,,,,,,,
7,97.74,,,,,,,,,
7.1,97.85,,,,,,,,,
7.2,97.95,,,,,,,,,
7.3,98.05,,,,,,,,,
7.4,98.07,,,,,,,,,
7.5,98.17,,,,,,,,,
7.6,98.2,,,,,,,,,
7.7,98.26,,,,,,,,,
7.8,98.33,,,,,,,,,
7.9,98.38,,,,,,,,,
8,98.46,,,,,,,,,
8.1,98.51,,,,,,,,,
8.2,98.55,,,,,,,,,
8.3,98.61,,,,,,,,,
8.4,98.7,,,,,,,,,
8.5,98.73,,,,,,,,,
8.6,98.78,,,,,,,,,
8.7,98.81,,,,,,,,,
8.8,98.87,,,,,,,,,
8.9,98.9,,,,,,,,,
9,98.97,,,,,,,,,
9.1,98.99,,,,,,,,,
9.2,99.01,,,,,,,,,
9.3,99.03,,,,,,,,,
9.4,99.07,,,,,,,,,
9.5,99.1,,,,,,,,,
9.6,99.13,,,,,,,,,
9.7,99.16,,,,,,,,,
9.8,99.19,,,,,,,,,
9.9,99.22,,,,,,,,,
10,99.39,,,,,,,,,
11,99.57,,,,,,,,,
12,99.64,,,,,,,,,
13,99.73,,,,,,,,,
14,99.79,,,,,,,,,
15,99.84,,,,,,,,,
16,99.88,,,,,,,,,
17,99.89,,,,,,,,,
18,99.91,,,,,,,,,
19,99.93,,,,,,,,,
20,99.93,,,,,,,,,
21,99.95,,,,,,,,,
22,99.97,,,,,,,,,
24,99.97,,,,,,,,,
36,99.98,,,,,,,,,
37,99.99,,,,,,,,,
38,99.99,,,,,,,,,
44,100,,,,,,,,,
,,,,,,,,,,
Full-Test SET Latency,,,,,,,,,,
Latency (<= msec),Percent,,,,,,,,,
1.2,0.2,,,,,,,,,
1.3,1.44,,,,,,,,,
1.4,5.28,,,,,,,,,
1.5,11.93,,,,,,,,,
1.6,20.23,,,,,,,,,
1.7,29.21,,,,,,,,,
1.8,37.7,,,,,,,,,
1.9,45.97,,,,,,,,,
2,53.49,,,,,,,,,
2.1,59.07,,,,,,,,,
2.2,63.56,,,,,,,,,
2.3,67.09,,,,,,,,,
2.4,69.93,,,,,,,,,
2.5,72.21,,,,,,,,,
2.6,74.14,,,,,,,,,
2.7,75.61,,,,,,,,,
2.8,76.74,,,,,,,,,
2.9,77.65,,,,,,,,,
3,78.57,,,,,,,,,
3.1,79.34,,,,,,,,,
3.2,80.04,,,,,,,,,
3.3,80.57,,,,,,,,,
3.4,81,,,,,,,,,
3.5,81.39,,,,,,,,,
3.6,81.85,,,,,,,,,
3.7,82.21,,,,,,,,,
3.8,82.54,,,,,,,,,
3.9,82.9,,,,,,,,,
4,83.48,,,,,,,,,
4.1,84.09,,,,,,,,,
4.2,84.77,,,,,,,,,
4.3,85.38,,,,,,,,,
4.4,86.13,,,,,,,,,
4.5,86.99,,,,,,,,,
4.6,87.87,,,,,,,,,
4.7,88.82,,,,,,,,,
4.8,89.66,,,,,,,,,
4.9,90.66,,,,,,,,,
5,91.5,,,,,,,,,
5.1,92.4,,,,,,,,,
5.2,93.1,,,,,,,,,
5.3,93.83,,,,,,,,,
5.4,94.43,,,,,,,,,
5.5,94.98,,,,,,,,,
5.6,95.44,,,,,,,,,
5.7,95.83,,,,,,,,,
5.8,96.15,,,,,,,,,
5.9,96.41,,,,,,,,,
6,96.6,,,,,,,,,
6.1,96.83,,,,,,,,,
6.2,97.03,,,,,,,,,
6.3,97.21,,,,,,,,,
6.4,97.33,,,,,,,,,
6.5,97.45,,,,,,,,,
6.6,97.56,,,,,,,,,
6.7,97.65,,,,,,,,,
6.8,97.75,,,,,,,,,
6.9,97.81,,,,,,,,,
7,97.96,,,,,,,,,
7.1,98.02,,,,,,,,,
7.2,98.08,,,,,,,,,
7.3,98.18,,,,,,,,,
7.4,98.27,,,,,,,,,
7.5,98.33,,,,,,,,,
7.6,98.38,,,,,,,,,
7.7,98.43,,,,,,,,,
7.8,98.5,,,,,,,,,
7.9,98.56,,,,,,,,,
8,98.6,,,,,,,,,
8.1,98.66,,,,,,,,,
8.2,98.72,,,,,,,,,
8.3,98.78,,,,,,,,,
8.4,98.83,,,,,,,,,
8.5,98.91,,,,,,,,,
8.6,98.92,,,,,,,,,
8.7,98.95,,,,,,,,,
8.8,98.99,,,,,,,,,
8.9,99.03,,,,,,,,,
9,99.05,,,,,,,,,
9.1,99.06,,,,,,,,,
9.2,99.12,,,,,,,,,
9.3,99.15,,,,,,,,,
9.4,99.2,,,,,,,,,
9.5,99.2,,,,,,,,,
9.6,99.24,,,,,,,,,
9.7,99.28,,,,,,,,,
9.8,99.32,,,,,,,,,
9.9,99.32,,,,,,,,,
10,99.47,,,,,,,,,
11,99.64,,,,,,,,,
12,99.72,,,,,,,,,
13,99.78,,,,,,,,,
14,99.82,,,,,,,,,
15,99.85,,,,,,,,,
16,99.91,,,,,,,,,
17,99.91,,,,,,,,,
18,99.93,,,,,,,,,
19,99.95,,,,,,,,,
21,99.96,,,,,,,,,
23,99.97,,,,,,,,,
25,99.98,,,,,,,,,
30,99.99,,,,,,,,,
32,99.99,,,,,,,,,
54,100,,,,,,,,,
,,,,,,,,,,
Full-Test WAIT Latency,,,,,,,,,,
Latency (<= msec),Percent,,,,,,,,,
