Per-Second Benchmark Data,,,,,,,,,,
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses, GET Hits,WAIT Requests,WAIT Average Latency
0,66,0.006679,70252,66,0.008439,422720,0,396,0,0
1,113,0.004252,120284,112,0.004582,717342,0,672,0,0
2,121,0.003533,128787,121,0.004705,774948,0,726,0,0
3,130,0.003533,138374,131,0.004152,839008,0,786,0,0
4,137,0.003225,145828,136,0.004069,871022,0,816,0,0
5,137,0.003361,145828,137,0.003933,877434,0,822,0,0
6,155,0.003086,164980,155,0.003342,992752,0,930,0,0
7,157,0.003033,167114,158,0.003308,1011924,0,948,0,0
8,164,0.002848,174559,163,0.003246,1042933,1,977,0,0
9,163,0.002717,173494,164,0.003335,1049309,1,983,0,0
10,164,0.002891,174553,164,0.003231,1050376,0,984,0,0
11,167,0.002771,177752,166,0.003221,1063186,0,996,0,0
12,161,0.002894,171359,161,0.003303,1031160,0,966,0,0
13,162,0.003059,172436,162,0.003096,1036521,1,971,0,0
14,155,0.003043,164980,155,0.00338,992750,0,930,0,0
15,156,0.002615,166048,157,0.003502,1005530,0,942,0,0
16,164,0.003348,174559,163,0.003009,1040793,3,975,0,0
17,173,0.002684,184144,173,0.003071,1108024,0,1038,0,0
18,168,0.00284,178823,168,0.003103,1074911,1,1007,0,0
19,158,0.003118,168171,158,0.003158,1010859,1,947,0,0
20,159,0.002838,169248,159,0.00346,1018306,0,954,0,0
21,166,0.00279,176691,167,0.0032,1069592,0,1002,0,0
22,155,0.003025,164968,154,0.003431,986278,0,924,0,0
23,152,0.003115,161779,153,0.003398,979904,0,918,0,0
24,131,0.003553,139436,130,0.004082,832586,0,780,0,0
25,169,0.002836,179895,169,0.003093,1082374,0,1014,0,0
26,171,0.002694,182019,172,0.003114,1101562,0,1032,0,0
27,175,0.002601,186270,174,0.003095,1113347,1,1043,0,0
28,168,0.002751,178817,169,0.003173,1082412,0,1014,0,0
29,165,0.002912,175624,165,0.003131,1056766,0,990,0,0
30,176,0.002733,187326,176,0.002927,1127248,0,1056,0,0
31,165,0.002834,175619,164,0.003212,1049289,1,983,0,0
32,183,0.002712,194779,183,0.002753,1172010,0,1098,0,0
33,174,0.002704,185199,174,0.003017,1114408,0,1044,0,0
34,163,0.002905,173489,163,0.003212,1043954,0,978,0,0
35,183,0.002563,194777,184,0.002859,1176396,2,1102,0,0
36,164,0.002774,174565,163,0.003335,1043958,0,978,0,0
37,158,0.002731,168173,159,0.003562,1018338,0,954,0,0
38,166,0.002914,176682,165,0.003113,1055763,1,989,0,0
39,176,0.002671,187319,176,0.002983,1127216,0,1056,0,0
40,179,0.002846,190533,179,0.002729,1146476,0,1074,0,0
41,168,0.002917,178808,168,0.003021,1074925,1,1007,0,0
42,148,0.003619,157534,148,0.003113,946831,1,887,0,0
43,169,0.002709,179891,169,0.003195,1082394,0,1014,0,0
44,166,0.002876,176679,166,0.003124,1063178,0,996,0,0
45,165,0.00296,175616,166,0.003044,1063206,0,996,0,0
46,170,0.002768,180930,169,0.003126,1082368,0,1014,0,0
47,173,0.002777,184150,173,0.002974,1108000,0,1038,0,0
48,162,0.002916,172429,163,0.003218,1042911,1,977,0,0
49,170,0.002761,180940,170,0.003112,1088800,0,1020,0,0
50,168,0.002705,178810,168,0.003209,1074939,1,1007,0,0
51,168,0.0027,178823,167,0.003278,1069538,0,1002,0,0
52,174,0.002671,185198,175,0.00304,1120828,0,1050,0,0
53,150,0.003089,159664,149,0.003584,953227,1,893,0,0
54,160,0.002785,170308,161,0.003417,1031190,0,966,0,0
55,173,0.002754,184135,173,0.003005,1106925,1,1037,0,0
56,172,0.002654,183067,171,0.003147,1095182,0,1026,0,0
57,173,0.00273,184144,173,0.003043,1107992,0,1038,0,0
58,173,0.002709,184133,173,0.00303,1107988,0,1038,0,0
59,145,0.003311,154336,145,0.003589,928660,0,870,0,0
60,165,0.002778,175622,166,0.003246,1063172,0,996,0,0
61,171,0.002694,182014,171,0.003133,1095210,0,1026,0,0
62,176,0.002653,187338,175,0.003017,1120848,0,1050,0,0
63,170,0.002638,180951,170,0.003216,1088812,0,1020,0,0
64,153,0.002989,162853,153,0.003491,979948,0,918,0,0
65,168,0.002766,178808,168,0.003215,1073872,2,1006,0,0
66,169,0.002724,179882,169,0.003169,1081327,1,1013,0,0
67,165,0.002827,175627,165,0.003202,1056794,0,990,0,0
68,166,0.002912,176682,166,0.003101,1062107,1,995,0,0
69,166,0.002803,176675,166,0.003207,1062135,1,995,0,0
70,165,0.002892,175641,166,0.003132,1063144,0,996,0,0
71,151,0.002938,160727,151,0.003653,967112,0,906,0,0
72,176,0.002661,187350,176,0.003013,1127248,0,1056,0,0
73,161,0.003016,171378,161,0.003191,1030131,1,965,0,0
74,161,0.002786,171362,161,0.00339,1031210,0,966,0,0
75,171,0.00268,182015,171,0.003144,1095198,0,1026,0,0
76,165,0.003134,175623,165,0.002932,1056768,0,990,0,0
77,179,0.002737,190540,178,0.002848,1139990,0,1068,0,0
78,169,0.002827,179889,169,0.003066,1082402,0,1014,0,0
79,150,0.003013,159656,150,0.003596,960666,0,900,0,0
80,0,0,0,1,0.006759,6406,0,6,0,0
,164.830985915493,,,164.845070422535,,,,,,
Full-Test GET Latency,,,,,,,,,,
Latency (<= msec),Percent,,,,,,,,,
1.4,0.04,,,,,,,,,
1.5,0.32,,,12933,12933,,,,,
1.6,1.69,,,,,,,,,
1.7,4.5,,,,,,,,,
1.8,9.35,,,,,,,,,
1.9,15.6,,,,,,,,,
2,22.64,,,,,,,,,
2.1,30,,,,,,,,,
2.2,36.96,,,,,,,,,
2.3,43.15,,,,,,,,,
2.4,48.62,,,,,,,,,
2.5,53.31,,,,,,,,,
2.6,57.23,,,,,,,,,
2.7,60.54,,,,,,,,,
2.8,63.24,,,,,,,,,
2.9,65.76,,,,,,,,,
3,67.79,,,,,,,,,
3.1,69.37,,,,,,,,,
3.2,70.66,,,,,,,,,
3.3,71.74,,,,,,,,,
3.4,72.74,,,,,,,,,
3.5,73.65,,,,,,,,,
3.6,74.42,,,,,,,,,
3.7,75.12,,,,,,,,,
3.8,75.69,,,,,,,,,
3.9,76.18,,,,,,,,,
4,76.62,,,,,,,,,
4.1,77.07,,,,,,,,,
4.2,77.49,,,,,,,,,
4.3,77.98,,,,,,,,,
4.4,78.49,,,,,,,,,
4.5,78.96,,,,,,,,,
4.6,79.53,,,,,,,,,
4.7,80.27,,,,,,,,,
4.8,81.06,,,,,,,,,
4.9,81.98,,,,,,,,,
5,82.86,,,,,,,,,
5.1,83.84,,,,,,,,,
5.2,84.92,,,,,,,,,
5.3,85.97,,,,,,,,,
5.4,87.18,,,,,,,,,
5.5,88.24,,,,,,,,,
5.6,89.04,,,,,,,,,
5.7,90.02,,,,,,,,,
5.8,90.88,,,,,,,,,
5.9,91.6,,,,,,,,,
6,92.29,,,,,,,,,
6.1,93.03,,,,,,,,,
6.2,93.71,,,,,,,,,
6.3,94.18,,,,,,,,,
6.4,94.74,,,,,,,,,
6.5,95.17,,,,,,,,,
6.6,95.44,,,,,,,,,
6.7,95.78,,,,,,,,,
6.8,96.03,,,,,,,,,
6.9,96.28,,,,,,,,,
7,96.53,,,,,,,,,
7.1,96.64,,,,,,,,,
7.2,96.76,,,,,,,,,
7.3,96.92,,,,,,,,,
7.4,97.04,,,,,,,,,
7.5,97.13,,,,,,,,,
7.6,97.29,,,,,,,,,
7.7,97.39,,,,,,,,,
7.8,97.47,,,,,,,,,
7.9,97.55,,,,,,,,,
8,97.68,,,,,,,,,
8.1,97.76,,,,,,,,,
8.2,97.81,,,,,,,,,
8.3,97.88,,,,,,,,,
8.4,97.95,,,,,,,,,
8.5,98.02,,,,,,,,,
8.6,98.09,,,,,,,,,
8.7,98.11,,,,,,,,,
8.8,98.24,,,,,,,,,
8.9,98.3,,,,,,,,,
9,98.35,,,,,,,,,
9.1,98.41,,,,,,,,,
9.2,98.45,,,,,,,,,
9.3,98.52,,,,,,,,,
9.4,98.6,,,,,,,,,
9.5,98.65,,,,,,,,,
9.6,98.69,,,,,,,,,
9.7,98.73,,,,,,,,,
9.8,98.76,,,,,,,,,
9.9,98.82,,,,,,,,,
10,99.08,,,,,,,,,
11,99.39,,,,,,,,,
12,99.49,,,,,,,,,
13,99.56,,,,,,,,,
14,99.61,,,,,,,,,
15,99.72,,,,,,,,,
16,99.74,,,,,,,,,
17,99.79,,,,,,,,,
18,99.82,,,,,,,,,
