Per-Second Benchmark Data,,,,,,,,,,
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses, GET Hits,WAIT Requests,WAIT Average Latency
0,55,0.009126,58540,54,0.009083,518524,0,486,0,0
1,95,0.005133,101123,96,0.005373,921818,0,864,0,0
2,82,0.005532,87271,81,0.006717,777730,0,729,0,0
3,85,0.006135,90466,86,0.005524,825772,0,774,0,0
4,116,0.004112,123468,116,0.00446,1113820,0,1044,0,0
5,151,0.003481,160735,150,0.003167,1440308,0,1350,0,0
6,126,0.003554,134118,126,0.004307,1209880,0,1134,0,0
7,89,0.004185,94733,89,0.00705,854560,0,801,0,0
8,123,0.003913,130922,124,0.003892,1190668,0,1116,0,0
9,99,0.005674,105388,98,0.004753,940976,0,882,0,0
10,146,0.003718,155404,147,0.003153,1411520,0,1323,0,0
11,154,0.003051,163925,154,0.003401,1478724,0,1386,0,0
12,138,0.003464,146878,138,0.003767,1324023,1,1241,0,0
13,155,0.003021,164976,154,0.003448,1478760,0,1386,0,0
14,141,0.003175,150084,142,0.003863,1362425,1,1277,0,0
15,127,0.003169,135178,126,0.004708,1209884,0,1134,0,0
16,139,0.003172,147942,139,0.002906,1334674,0,1251,0,0
17,146,0.00305,155397,146,0.004819,1400829,1,1313,0,0
18,147,0.003009,156457,147,0.003772,1411482,0,1323,0,0
19,142,0.003488,151150,143,0.0035,1373064,0,1287,0,0
20,127,0.003678,135166,127,0.004177,1219408,0,1143,0,0
21,144,0.003309,153264,144,0.003584,1382682,0,1296,0,0
22,126,0.003933,134103,126,0.004004,1209824,0,1134,0,0
23,144,0.003604,153271,144,0.003315,1382662,0,1296,0,0
24,97,0.005473,103259,97,0.004845,931388,0,873,0,0
25,165,0.002746,175627,164,0.003303,1574726,0,1476,0,0
26,150,0.003136,159659,151,0.00349,1449888,0,1359,0,0
27,137,0.003502,145826,136,0.003672,1305842,0,1224,0,0
28,133,0.003338,141557,133,0.004284,1276998,0,1197,0,0
29,140,0.003749,149014,140,0.003351,1344284,0,1260,0,0
30,145,0.003257,154325,146,0.003593,1401854,0,1314,0,0
31,117,0.00451,124538,117,0.003609,1123476,0,1053,0,0
32,165,0.003373,175637,164,0.002997,1574686,0,1476,0,0
33,126,0.003399,134114,126,0.004507,1209864,0,1134,0,0
34,128,0.003343,136241,129,0.004003,1238704,0,1161,0,0
35,93,0.008369,98980,93,0.002867,892976,0,837,0,0
36,153,0.003121,162846,153,0.003441,1469152,0,1377,0,0
37,155,0.003094,164986,155,0.003325,1488290,0,1395,0,0
38,126,0.004883,134109,126,0.002996,1209866,0,1134,0,0
39,102,0.004542,108579,101,0.004945,969790,0,909,0,0
40,126,0.003916,134115,127,0.004274,1219454,0,1143,0,0
41,106,0.005781,112822,105,0.003689,1008222,0,945,0,0
42,151,0.00303,160724,152,0.003528,1459470,0,1368,0,0
43,152,0.003176,161795,151,0.003422,1449906,0,1359,0,0
44,151,0.003646,160725,151,0.002951,1449896,0,1359,0,0
45,149,0.003377,158604,149,0.003326,1430672,0,1341,0,0
46,129,0.003569,137301,130,0.004131,1248228,0,1170,0,0
47,133,0.003564,141566,132,0.003968,1266409,1,1187,0,0
48,117,0.004105,124530,118,0.004341,1133054,0,1062,0,0
49,140,0.003593,149014,140,0.003555,1343207,1,1259,0,0
50,162,0.002906,172426,161,0.003268,1545890,0,1449,0,0
51,168,0.002966,178811,169,0.002928,1622698,0,1521,0,0
52,145,0.003005,154336,145,0.003894,1392250,0,1305,0,0
53,158,0.002897,168156,157,0.003433,1507534,0,1413,0,0
54,160,0.002981,170322,160,0.003248,1536318,0,1440,0,0
55,164,0.002822,174550,165,0.003223,1584340,0,1485,0,0
56,145,0.00398,154340,145,0.00291,1392344,0,1305,0,0
57,159,0.002969,169240,158,0.003326,1517126,0,1422,0,0
58,142,0.003141,151150,142,0.003858,1363502,0,1278,0,0
59,150,0.003069,159650,150,0.003551,1440304,0,1350,0,0
60,153,0.002948,162846,153,0.003613,1469118,0,1377,0,0
61,144,0.003502,153269,145,0.003392,1392296,0,1305,0,0
62,71,0.003072,75570,70,0.004258,672150,0,630,0,0
63,143,0.002915,152212,143,0.007423,1373128,0,1287,0,0
64,145,0.003181,154341,146,0.003673,1400841,1,1313,0,0
65,142,0.003347,151144,142,0.003659,1363522,0,1278,0,0
66,144,0.003369,153265,143,0.003608,1373092,0,1287,0,0
67,138,0.003318,146889,138,0.003864,1325076,0,1242,0,0
68,172,0.002703,183060,173,0.003095,1661150,0,1557,0,0
69,140,0.003582,149012,139,0.003576,1334662,0,1251,0,0
70,72,0.003498,76635,72,0.010148,691322,0,648,0,0
71,129,0.003208,137303,130,0.004614,1248246,0,1170,0,0
72,101,0.004596,107509,100,0.005308,960168,0,900,0,0
73,141,0.003921,150070,141,0.003172,1353910,0,1269,0,0
74,159,0.00314,169233,159,0.003124,1525615,1,1430,0,0
75,139,0.003421,147943,139,0.003485,1334692,0,1251,0,0
76,144,0.002871,153277,145,0.003806,1391215,1,1304,0,0
77,154,0.003181,163913,153,0.003778,1469104,0,1377,0,0
78,164,0.00278,174567,164,0.003291,1573705,1,1475,0,0
79,155,0.00312,164988,156,0.003285,1497914,0,1404,0,0
80,1,0.00236,1065,0,0,0,0,0,0,0
,137.12676056338,,,137.112676056338,,,,,,
Full-Test GET Latency,,,,,,,,,,
Latency (<= msec),Percent,,,,,,,,,
0.92,0.01,,,10787,10786,,,,,
1,0.06,,,,,,,,,
1.1,0.44,,,,,,,,,
1.2,1.25,,,,,,,,,
1.3,3.1,,,,,,,,,
1.4,6.28,,,,,,,,,
1.5,10.73,,,,,,,,,
1.6,15.95,,,,,,,,,
1.7,21.82,,,,,,,,,
1.8,27.72,,,,,,,,,
1.9,33.02,,,,,,,,,
2,37.82,,,,,,,,,
2.1,42.18,,,,,,,,,
2.2,46.15,,,,,,,,,
2.3,49.44,,,,,,,,,
2.4,52.26,,,,,,,,,
2.5,54.4,,,,,,,,,
2.6,56.6,,,,,,,,,
2.7,58.44,,,,,,,,,
2.8,60.03,,,,,,,,,
2.9,61.28,,,,,,,,,
3,62.67,,,,,,,,,
3.1,63.68,,,,,,,,,
3.2,64.59,,,,,,,,,
3.3,65.65,,,,,,,,,
3.4,66.43,,,,,,,,,
3.5,67.24,,,,,,,,,
3.6,67.95,,,,,,,,,
3.7,68.59,,,,,,,,,
3.8,69.33,,,,,,,,,
3.9,69.99,,,,,,,,,
4,70.74,,,,,,,,,
4.1,71.32,,,,,,,,,
4.2,71.98,,,,,,,,,
4.3,72.61,,,,,,,,,
4.4,73.14,,,,,,,,,
4.5,73.77,,,,,,,,,
4.6,74.45,,,,,,,,,
4.7,75.08,,,,,,,,,
4.8,75.66,,,,,,,,,
4.9,76.34,,,,,,,,,
5,77.1,,,,,,,,,
5.1,77.66,,,,,,,,,
5.2,78.38,,,,,,,,,
5.3,79.02,,,,,,,,,
5.4,79.66,,,,,,,,,
5.5,80.39,,,,,,,,,
5.6,81.04,,,,,,,,,
5.7,81.8,,,,,,,,,
5.8,82.41,,,,,,,,,
5.9,83.13,,,,,,,,,
6,83.79,,,,,,,,,
6.1,84.49,,,,,,,,,
6.2,85.24,,,,,,,,,
6.3,86.08,,,,,,,,,
6.4,86.72,,,,,,,,,
6.5,87.33,,,,,,,,,
6.6,88.07,,,,,,,,,
6.7,88.77,,,,,,,,,
6.8,89.43,,,,,,,,,
6.9,90.06,,,,,,,,,
7,90.65,,,,,,,,,
7.1,91.28,,,,,,,,,
7.2,91.84,,,,,,,,,
7.3,92.34,,,,,,,,,
7.4,92.72,,,,,,,,,
7.5,93.04,,,,,,,,,
7.6,93.39,,,,,,,,,
7.7,93.7,,,,,,,,,
7.8,94.14,,,,,,,,,
7.9,94.51,,,,,,,,,
8,94.84,,,,,,,,,
8.1,95.18,,,,,,,,,
8.2,95.38,,,,,,,,,
8.3,95.62,,,,,,,,,
8.4,95.92,,,,,,,,,
8.5,96.09,,,,,,,,,
8.6,96.3,,,,,,,,,
8.7,96.48,,,,,,,,,
8.8,96.61,,,,,,,,,
8.9,96.77,,,,,,,,,
9,97,,,,,,,,,
9.1,97.12,,,,,,,,,
9.2,97.23,,,,,,,,,
9.3,97.28,,,,,,,,,
9.4,97.39,,,,,,,,,
9.5,97.46,,,,,,,,,
9.6,97.55,,,,,,,,,
9.7,97.65,,,,,,,,,
9.8,97.67,,,,,,,,,
9.9,97.74,,,,,,,,,
10,98.16,,,,,,,,,
11,98.41,,,,,,,,,
12,98.67,,,,,,,,,
13,98.85,,,,,,,,,
14,98.98,,,,,,,,,
15,99.1,,,,,,,,,
16,99.14,,,,,,,,,
17,99.18,,,,,,,,,
18,99.23,,,,,,,,,
19,99.25,,,,,,,,,
20,99.29,,,,,,,,,
21,99.3,,,,,,,,,
22,99.32,,,,,,,,,
23,99.35,,,,,,,,,
24,99.39,,,,,,,,,
25,99.44,,,,,,,,,
26,99.47,,,,,,,,,
27,99.48,,,,,,,,,
28,99.5,,,,,,,,,
29,99.53,,,,,,,,,
30,99.55,,,,,,,,,
31,99.56,,,,,,,,,
32,99.57,,,,,,,,,
35,99.58,,,,,,,,,
36,99.59,,,,,,,,,
39,99.62,,,,,,,,,
41,99.63,,,,,,,,,
44,99.65,,,,,,,,,
45,99.68,,,,,,,,,
48,99.68,,,,,,,,,
49,99.69,,,,,,,,,
51,99.71,,,,,,,,,
54,99.72,,,,,,,,,
56,99.73,,,,,,,,,
58,99.74,,,,,,,,,
59,99.75,,,,,,,,,
62,99.77,,,,,,,,,
63,99.78,,,,,,,,,
67,99.79,,,,,,,,,
68,99.8,,,,,,,,,
69,99.81,,,,,,,,,
72,99.82,,,,,,,,,
73,99.85,,,,,,,,,
75,99.86,,,,,,,,,
77,99.87,,,,,,,,,
79,99.89,,,,,,,,,
80,99.9,,,,,,,,,
82,99.91,,,,,,,,,
84,99.92,,,,,,,,,
89,99.93,,,,,,,,,
90,99.94,,,,,,,,,
100,99.94,,,,,,,,,
160,99.96,,,,,,,,,
190,99.98,,,,,,,,,
290,99.99,,,,,,,,,
620,100,,,,,,,,,
,,,,,,,,,,
Full-Test SET Latency,,,,,,,,,,
Latency (<= msec),Percent,,,,,,,,,
0.83,0.01,,,,,,,,,
0.84,0.03,,,,,,,,,
0.86,0.04,,,,,,,,,
0.87,0.06,,,,,,,,,
0.89,0.06,,,,,,,,,
0.9,0.08,,,,,,,,,
0.92,0.1,,,,,,,,,
0.93,0.13,,,,,,,,,
0.94,0.18,,,,,,,,,
0.95,0.23,,,,,,,,,
0.96,0.31,,,,,,,,,
0.97,0.35,,,,,,,,,
0.98,0.39,,,,,,,,,
0.99,0.42,,,,,,,,,
1,1.04,,,,,,,,,
1.1,3.08,,,,,,,,,
1.2,6.87,,,,,,,,,
1.3,12.24,,,,,,,,,
1.4,17.8,,,,,,,,,
1.5,23.69,,,,,,,,,
1.6,29.3,,,,,,,,,
1.7,34.51,,,,,,,,,
1.8,39.62,,,,,,,,,
1.9,44,,,,,,,,,
2,47.62,,,,,,,,,
2.1,50.64,,,,,,,,,
2.2,52.87,,,,,,,,,
2.3,55.09,,,,,,,,,
2.4,56.86,,,,,,,,,
2.5,58.45,,,,,,,,,
2.6,59.94,,,,,,,,,
2.7,61.16,,,,,,,,,
2.8,62.44,,,,,,,,,
2.9,63.37,,,,,,,,,
3,64.35,,,,,,,,,
3.1,65.05,,,,,,,,,
3.2,65.98,,,,,,,,,
3.3,66.73,,,,,,,,,
3.4,67.42,,,,,,,,,
3.5,68.08,,,,,,,,,
3.6,68.66,,,,,,,,,
3.7,69.29,,,,,,,,,
3.8,69.95,,,,,,,,,
3.9,70.59,,,,,,,,,
4,71.28,,,,,,,,,
4.1,71.99,,,,,,,,,
4.2,72.64,,,,,,,,,
