#Clients	Avg Throughput	Th Std Dev	Avg Response Time	Rt Std Dev
2	1270.93333333	62.0910084741	1.56866666667	0.0761402215214
8	3066.26666667	113.619071169	2.60866666667	0.101298239537
16	3629.46666667	80.1065124277	4.414	0.100935623048
24	3654.93333333	154.276677866	6.57666666667	0.271103916116
32	3864.86666667	126.140292268	8.30466666667	0.314924329535
40	3789.73333333	62.5914797184	10.6166666667	0.198053864727
48	3868.0	186.979464113	12.4586666667	0.611563024825
56	3977.6	71.6594725071	14.116	0.257495631031
64	3913.73333333	81.810594261	16.4693333333	0.411117177132
