Per-Second Benchmark Data,,,,,,,,,,,
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses, GET Hits,WAIT Requests,WAIT Average Latency,
2.8,60.01,,,,,,,,,,
2.9,61.38,,,,,,,,,,
3,62.54,,,,,,,,,,
3.1,63.72,,,,,,,,,,
3.2,64.64,,,,,,,,,,
3.3,65.42,,,,,,,,,,
3.4,66.21,,,,,,,,,,
3.5,66.93,,,,,,,,,,
3.6,67.54,,,,,,,,,,
3.7,68.23,,,,,,,,,,
3.8,68.92,,,,,,,,,,
3.9,69.47,,,,,,,,,,
4,70.15,,,,,,,,,,
4.1,70.63,,,,,,,,,,
4.2,71.23,,,,,,,,,,
4.3,71.89,,,,,,,,,,
4.4,72.49,,,,,,,,,,
4.5,73.07,,,,,,,,,,
4.6,73.74,,,,,,,,,,
4.7,74.39,,,,,,,,,,
4.8,75.11,,,,,,,,,,
4.9,75.83,,,,,,,,,,
5,76.54,,,,,,,,,,
5.1,77.28,,,,,,,,,,
5.2,78.02,,,,,,,,,,
5.3,78.82,,,,,,,,,,
5.4,79.57,,,,,,,,,,
5.5,80.35,,,,,,,,,,
5.6,81.03,,,,,,,,,,
5.7,81.83,,,,,,,,,,
5.8,82.6,,,,,,,,,,
5.9,83.47,,,,,,,,,,
6,84.17,,,,,,,,,,
6.1,85.02,,,,,,,,,,
6.2,85.86,,,,,,,,,,
6.3,86.48,,,,,,,,,,
6.4,87.18,,,,,,,,,,
6.5,87.9,,,,,,,,,,
6.6,88.53,,,,,,,,,,
6.7,89.16,,,,,,,,,,
6.8,89.92,,,,,,,,,,
6.9,90.49,,,,,,,,,,
7,91.02,,,,,,,,,,
7.1,91.54,,,,,,,,,,
7.2,92.14,,,,,,,,,,
7.3,92.58,,,,,,,,,,
7.4,93.01,,,,,,,,,,
7.5,93.44,,,,,,,,,,
7.6,93.84,,,,,,,,,,
7.7,94.27,,,,,,,,,,
7.8,94.76,,,,,,,,,,
7.9,95.09,,,,,,,,,,
8,95.47,,,,,,,,,,
8.1,95.76,,,,,,,,,,
8.2,96.07,,,,,,,,,,
8.3,96.2,,,,,,,,,,
8.4,96.35,,,,,,,,,,
8.5,96.53,,,,,,,,,,
8.6,96.71,,,,,,,,,,
8.7,96.86,,,,,,,,,,
8.8,97.02,,,,,,,,,,
8.9,97.17,,,,,,,,,,
9,97.33,,,,,,,,,,
9.1,97.43,,,,,,,,,,
9.2,97.53,,,,,,,,,,
9.3,97.63,,,,,,,,,,
9.4,97.72,,,,,,,,,,
9.5,97.76,,,,,,,,,,
9.6,97.82,,,,,,,,,,
9.7,97.92,,,,,,,,,,
9.8,98.04,,,,,,,,,,
9.9,98.1,,,,,,,,,,
10,98.4,,,,,,,,,,
11,98.69,,,,,,,,,,
12,98.85,,,,,,,,,,
13,98.96,,,,,,,,,,
14,99.03,,,,,,,,,,
15,99.19,,,,,,,,,,
16,99.3,,,,,,,,,,
17,99.37,,,,,,,,,,
18,99.43,,,,,,,,,,
20,99.46,,,,,,,,,,
21,99.51,,,,,,,,,,
22,99.52,,,,,,,,,,
23,99.53,,,,,,,,,,
24,99.58,,,,,,,,,,
25,99.6,,,,,,,,,,
26,99.63,,,,,,,,,,
27,99.67,,,,,,,,,,
28,99.69,,,,,,,,,,
29,99.73,,,,,,,,,,
30,99.74,,,,,,,,,,
31,99.76,,,,,,,,,,
32,99.77,,,,,,,,,,
33,99.78,,,,,,,,,,
34,99.79,,,,,,,,,,
37,99.81,,,,,,,,,,
39,99.82,,,,,,,,,,
41,99.82,,,,,,,,,,
42,99.83,,,,,,,,,,
46,99.84,,,,,,,,,,
47,99.85,,,,,,,,,,
50,99.86,,,,,,,,,,
51,99.87,,,,,,,,,,
55,99.88,,,,,,,,,,
56,99.89,,,,,,,,,,
57,99.9,,,,,,,,,,
66,99.92,,,,,,,,,,
69,99.93,,,,,,,,,,
73,99.94,,,,,,,,,,
82,99.95,,,,,,,,,,
99,99.96,,,,,,,,,,
100,99.97,,,,,,,,,,
120,99.98,,,,,,,,,,
160,99.99,,,,,,,,,,
360,100,,,,,,,,,,
,,,,,,,,,,,
Full-Test SET Latency,,,,,,,,,,,
Latency (<= msec),Percent,,,,,,,,,,
0.87,0.02,,,,,,,,,,
0.91,0.04,,,,,,,,,,
0.92,0.07,,,,,,,,,,
0.94,0.1,,,,,,,,,,
0.95,0.13,,,,,,,,,,
0.96,0.16,,,,,,,,,,
0.97,0.19,,,,,,,,,,
0.98,0.23,,,,,,,,,,
0.99,0.3,,,,,,,,,,
1,0.87,,,,,,,,,,
1.1,3.12,,,,,,,,,,
1.2,7.16,,,,,,,,,,
1.3,12.52,,,,,,,,,,
1.4,19.42,,,,,,,,,,
1.5,26.55,,,,,,,,,,
1.6,32.65,,,,,,,,,,
1.7,38.06,,,,,,,,,,
1.8,42.73,,,,,,,,,,
1.9,46.62,,,,,,,,,,
2,49.61,,,,,,,,,,
2.1,52.42,,,,,,,,,,
2.2,54.84,,,,,,,,,,
2.3,56.77,,,,,,,,,,
2.4,58.38,,,,,,,,,,
2.5,59.91,,,,,,,,,,
2.6,61.09,,,,,,,,,,
2.7,62.18,,,,,,,,,,
2.8,63.06,,,,,,,,,,
2.9,63.81,,,,,,,,,,
3,64.6,,,,,,,,,,
3.1,65.48,,,,,,,,,,
3.2,66.14,,,,,,,,,,
3.3,66.97,,,,,,,,,,
3.4,67.65,,,,,,,,,,
3.5,68.27,,,,,,,,,,
3.6,68.88,,,,,,,,,,
3.7,69.49,,,,,,,,,,
3.8,70.18,,,,,,,,,,
3.9,70.77,,,,,,,,,,
4,71.54,,,,,,,,,,
4.1,72.11,,,,,,,,,,
4.2,72.83,,,,,,,,,,
4.3,73.5,,,,,,,,,,
4.4,74.22,,,,,,,,,,
4.5,74.79,,,,,,,,,,
4.6,75.47,,,,,,,,,,
4.7,76.14,,,,,,,,,,
4.8,76.91,,,,,,,,,,
4.9,77.53,,,,,,,,,,
5,78.32,,,,,,,,,,
5.1,79.16,,,,,,,,,,
5.2,79.99,,,,,,,,,,
5.3,80.74,,,,,,,,,,
5.4,81.74,,,,,,,,,,
5.5,82.57,,,,,,,,,,
5.6,83.48,,,,,,,,,,
5.7,84.22,,,,,,,,,,
5.8,85.1,,,,,,,,,,
5.9,85.9,,,,,,,,,,
6,86.74,,,,,,,,,,
6.1,87.36,,,,,,,,,,
6.2,88.08,,,,,,,,,,
6.3,88.79,,,,,,,,,,
6.4,89.55,,,,,,,,,,
6.5,90.15,,,,,,,,,,
6.6,90.89,,,,,,,,,,
6.7,91.6,,,,,,,,,,
6.8,92.12,,,,,,,,,,
6.9,92.8,,,,,,,,,,
7,93.39,,,,,,,,,,
7.1,93.8,,,,,,,,,,
7.2,94.28,,,,,,,,,,
7.3,94.66,,,,,,,,,,
7.4,95.08,,,,,,,,,,
7.5,95.38,,,,,,,,,,
7.6,95.66,,,,,,,,,,
7.7,96.02,,,,,,,,,,
7.8,96.31,,,,,,,,,,
7.9,96.46,,,,,,,,,,
8,96.59,,,,,,,,,,
8.1,96.75,,,,,,,,,,
8.2,96.95,,,,,,,,,,
8.3,97.12,,,,,,,,,,
8.4,97.3,,,,,,,,,,
8.5,97.38,,,,,,,,,,
8.6,97.45,,,,,,,,,,
8.7,97.57,,,,,,,,,,
8.8,97.68,,,,,,,,,,
8.9,97.85,,,,,,,,,,
9,97.92,,,,,,,,,,
9.1,98.01,,,,,,,,,,
9.2,98.09,,,,,,,,,,
9.3,98.2,,,,,,,,,,
9.4,98.27,,,,,,,,,,
9.5,98.31,,,,,,,,,,
9.6,98.37,,,,,,,,,,
9.7,98.39,,,,,,,,,,
9.8,98.47,,,,,,,,,,
9.9,98.53,,,,,,,,,,
10,98.63,,,,,,,,,,
11,98.86,,,,,,,,,,
12,99.01,,,,,,,,,,
13,99.13,,,,,,,,,,
14,99.19,,,,,,,,,,
15,99.31,,,,,,,,,,
16,99.39,,,,,,,,,,
17,99.46,,,,,,,,,,
18,99.5,,,,,,,,,,
19,99.55,,,,,,,,,,
20,99.61,,,,,,,,,,
21,99.64,,,,,,,,,,
23,99.67,,,,,,,,,,
24,99.69,,,,,,,,,,
25,99.73,,,,,,,,,,
26,99.74,,,,,,,,,,
28,99.75,,,,,,,,,,
31,99.77,,,,,,,,,,
36,99.79,,,,,,,,,,
39,99.81,,,,,,,,,,
40,99.82,,,,,,,,,,
41,99.82,,,,,,,,,,
42,99.83,,,,,,,,,,
43,99.85,,,,,,,,,,
45,99.86,,,,,,,,,,
47,99.87,,,,,,,,,,
50,99.88,,,,,,,,,,
51,99.89,,,,,,,,,,
55,99.89,,,,,,,,,,
