Clients	Avg	Std Dev
6	43736.5380953	1193.30404815
24	87537.9606305	2675.7104022
48	98470.9741784	6330.18704796
72	100327.856286	7349.65998155
96	91229.681716	5709.50929588
120	89070.5154929	3496.00411265
144	86644.8021127	4287.83715143
168	92891.2948693	3772.13076295
192	95290.7591465	3780.76402033
