Clients	Avg	Std Dev
6	54965.1963783	4702.29027689
24	97228.7486251	2847.91822213
48	216545.028169	6158.91676867
72	231417.914722	18414.7272688
96	242665.785211	10892.5314771
120	242598.692488	11366.7947198
144	261341.01328	12724.3479122
168	266475.828638	18885.853058
192	278282.715962	14465.6493241
