#Clients	Avg Throughput	Th Std Dev	Avg Response Time	Rt Std Dev
2	1207.6	33.1306504615	1.644	0.0435889894354
8	3156.66666667	84.0633887809	2.534	0.073511903798
16	3404.4	153.676543428	4.72	0.223329353198
24	3393.66666667	320.874077067	7.12533333333	0.72742376462
32	3417.0	143.988749561	9.39066666667	0.437311483194
40	3559.13333333	82.4430308354	11.2686666667	0.217387518808
48	3601.86666667	159.678969603	13.408	0.586354841372
56	3591.46666667	112.996342124	15.606	0.443355387923
64	3607.26666667	189.505707918	17.7713333333	0.92572206052
