#Clients	Avg Throughput	Th Std Dev	Avg Response Time	Rt Std Dev
2	1217.06666667	19.6614682395	1.63533333333	0.0313900196453
8	3056.46666667	230.170835106	2.62733333333	0.219602671508
16	3531.93333333	95.7006443726	4.526	0.125299640861
24	3653.4	54.7024679516	6.57133333333	0.0923976911688
32	3567.93333333	76.7427738183	8.99	0.180310842713
40	3398.73333333	390.515881026	11.9366666667	1.39794468179
48	3672.93333333	200.560148916	13.098	0.707103952754
56	3621.0	120.115111456	15.4733333333	0.546118424276
64	3670.06666667	92.8108470672	17.504	0.39495316178
