Clients	Avg	Std Dev
6	114815.998122	3387.04661214
24	95239.9634473	1308.4675426
48	164845.941315	10118.3715747
72	203957.651174	17375.2277216
96	224799.791583	9767.99842408
120	222206.924883	11023.2264765
144	248401.929913	4994.39832837
168	266091.115023	16125.9702637
192	277241.305164	14805.4401403
