Clients	Avg	Std Dev
6	115806.08216	1849.87903145
24	93546.3994634	3719.22076109
48	139068.050268	8782.82013648
72	166032.10503	4690.17059336
96	206286.777766	28340.3178643
120	235072.144802	10684.0368689
144	276626.607981	17824.3903016
168	282859.952817	11321.5006501
192	336140.821596	5813.25316223
