Per-Second Benchmark Data,,,,,,,,,,,
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses, GET Hits,WAIT Requests,WAIT Average Latency,
0,51,0.009096,54280,50,0.010665,480118,0,450,0,0,
1,80,0.006325,85159,80,0.006097,768166,0,720,0,0,
2,94,0.005163,100044,94,0.005461,902576,0,846,0,0,
3,101,0.004576,107496,101,0.005304,969802,0,909,0,0,
4,108,0.004685,114953,108,0.004555,1037002,0,972,0,0,
5,136,0.003659,144772,136,0.003662,1305884,0,1224,0,0,
6,126,0.0036,134114,126,0.004302,1209866,0,1134,0,0,
7,122,0.003805,129858,123,0.004309,1181050,0,1107,0,0,
8,113,0.00362,120279,113,0.005079,1085034,0,1017,0,0,
9,127,0.003979,135191,126,0.003954,1209848,0,1134,0,0,
10,130,0.00349,138380,131,0.004106,1257860,0,1179,0,0,
11,141,0.003924,150080,140,0.003277,1344310,0,1260,0,0,
12,143,0.003365,152200,144,0.003571,1381633,1,1295,0,0,
13,119,0.003923,126657,119,0.00445,1142692,0,1071,0,0,
14,135,0.003544,143698,135,0.003835,1295217,1,1214,0,0,
15,151,0.003135,160728,150,0.003456,1439267,1,1349,0,0,
16,151,0.003236,160710,152,0.003364,1458457,1,1367,0,0,
17,107,0.004279,113889,107,0.004455,1027420,0,963,0,0,
18,117,0.004558,124519,116,0.004547,1112767,1,1043,0,0,
19,153,0.003243,162868,154,0.003224,1478688,0,1386,0,0,
20,143,0.003475,152195,142,0.003529,1363426,0,1278,0,0,
21,146,0.003392,155394,147,0.003398,1411478,0,1323,0,0,
22,138,0.003661,146872,138,0.003565,1325068,0,1242,0,0,
23,132,0.003346,140499,132,0.00417,1267430,0,1188,0,0,
24,130,0.003979,138383,130,0.003691,1248240,0,1170,0,0,
25,135,0.003601,143696,135,0.003802,1296276,0,1215,0,0,
26,138,0.003517,146887,138,0.003694,1325050,0,1242,0,0,
27,118,0.004328,125603,118,0.004108,1133020,0,1062,0,0,
28,150,0.003272,159658,150,0.003385,1440238,0,1350,0,0,
29,133,0.003531,141561,132,0.003985,1267452,0,1188,0,0,
30,131,0.003541,139425,132,0.004026,1267450,0,1188,0,0,
31,130,0.003401,138364,129,0.003976,1238650,0,1161,0,0,
32,103,0.003508,109639,104,0.006546,998638,0,936,0,0,
33,125,0.00407,133057,124,0.003914,1190608,0,1116,0,0,
34,126,0.003682,134113,127,0.004181,1219474,0,1143,0,0,
35,150,0.003069,159662,149,0.003617,1430738,0,1341,0,0,
36,125,0.003324,133036,126,0.004605,1209844,0,1134,0,0,
37,124,0.003863,131985,124,0.00418,1190680,0,1116,0,0,
38,143,0.003245,152210,143,0.003711,1373084,0,1287,0,0,
39,117,0.004711,124529,116,0.003842,1113838,0,1044,0,0,
40,124,0.004042,131996,124,0.004008,1190614,0,1116,0,0,
41,107,0.003471,113893,108,0.005755,1037046,0,972,0,0,
42,128,0.004046,136236,127,0.003744,1219454,0,1143,0,0,
43,117,0.004729,124534,118,0.003764,1133006,0,1062,0,0,
44,116,0.003703,123479,116,0.004927,1112753,1,1043,0,0,
45,104,0.00542,110701,104,0.004194,997585,1,935,0,0,
46,133,0.003287,141564,132,0.004227,1267434,0,1188,0,0,
47,146,0.003096,155405,147,0.003705,1411462,0,1323,0,0,
48,147,0.003204,156462,146,0.003595,1401892,0,1314,0,0,
49,137,0.003273,145823,138,0.003954,1324017,1,1241,0,0,
50,148,0.003603,157531,147,0.003155,1408355,3,1320,0,0,
51,129,0.003565,137286,130,0.004125,1248234,0,1170,0,0,
52,124,0.003647,131993,124,0.004384,1190592,0,1116,0,0,
53,128,0.003985,136239,127,0.00377,1219436,0,1143,0,0,
54,101,0.004694,107506,102,0.00519,978329,1,917,0,0,
55,142,0.003498,151131,141,0.003544,1353860,0,1269,0,0,
56,148,0.003247,157536,148,0.003462,1421130,0,1332,0,0,
57,124,0.00332,131978,125,0.004687,1200246,0,1125,0,0,
58,146,0.003274,155406,145,0.00352,1392330,0,1305,0,0,
59,124,0.003701,131986,124,0.00443,1190666,0,1116,0,0,
60,136,0.003421,144758,136,0.003847,1305878,0,1224,0,0,
61,119,0.003693,126668,120,0.004697,1151197,1,1079,0,0,
62,124,0.004297,131983,124,0.003763,1190670,0,1116,0,0,
63,104,0.004385,110687,104,0.005201,997549,1,935,0,0,
64,124,0.00396,131975,124,0.004038,1189609,1,1115,0,0,
65,130,0.00383,138375,130,0.003849,1248276,0,1170,0,0,
66,75,0.009474,79825,74,0.003914,710558,0,666,0,0,
67,133,0.003409,141563,133,0.004086,1277086,0,1197,0,0,
68,131,0.003302,139445,131,0.004305,1256821,1,1178,0,0,
69,129,0.003482,137306,130,0.004176,1248300,0,1170,0,0,
70,139,0.003778,147948,138,0.003396,1325088,0,1242,0,0,
71,131,0.003752,139429,131,0.003906,1257870,0,1179,0,0,
72,138,0.003597,146884,138,0.003616,1323997,1,1241,0,0,
73,151,0.003129,160714,151,0.00345,1449914,0,1359,0,0,
74,139,0.003462,147948,139,0.003691,1334648,0,1251,0,0,
75,141,0.003001,150075,142,0.004042,1363480,0,1278,0,0,
76,150,0.00325,159659,150,0.003373,1440272,0,1350,0,0,
77,131,0.003627,139426,131,0.003997,1256805,1,1178,0,0,
78,131,0.003628,139436,131,0.00401,1257824,0,1179,0,0,
79,118,0.003871,125589,117,0.004614,1119242,4,1049,0,0,
80,0,0,0,1,0.002924,9602,0,9,0,0,
,129.929577464789,,,129.943661971831,,,,,,,
Full-Test GET Latency,,,,,,,,,,,
Latency (<= msec),Percent,,,,,,,,,,
1.2,0.01,,,10189,10189,,9474,9473,,11953,11953
1.3,0.21,,,9922,9921,,9887,9887,,11672,11671
1.4,0.79,,,20111,20110,,19361,19360,,23625,23624
1.5,2.51,,,,,,,,,,
1.6,5.61,,,,,,,,,,
1.7,9.89,,,,,,,,,,
1.8,15.2,,,13386,13386,,,,,,
1.9,20.32,,,13036,13035,,,,,,
2,25.53,,,26422,26421,,,,,,
2.1,30.18,,,,,,,,,,
2.2,34.44,,,,,,,,,,
2.3,38.13,,,,,,,,,,
2.4,41.47,,,,,,,,,,
2.5,44.3,,,,,,,,,,
2.6,47,,,,,,,,,,
2.7,49.24,,,,,,,,,,
2.8,51.28,,,,,,,,,,
2.9,52.98,,,,,,,,,,
3,54.5,,,,,,,,,,
3.1,55.87,,,,,,,,,,
