Per-Second Benchmark Data,,,,,,,,,,
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses, GET Hits,WAIT Requests,WAIT Average Latency
0,56,0.008235,59608,55,0.009767,352258,0,330,0,0
1,74,0.007155,78771,74,0.006162,473960,0,444,0,0
2,88,0.005458,93673,88,0.006024,563642,0,528,0,0
3,98,0.005087,104304,98,0.005075,627620,0,588,0,0
4,106,0.004938,112828,106,0.004454,678902,0,636,0,0
5,94,0.004804,100054,94,0.005789,602016,0,564,0,0
6,91,0.005515,96863,91,0.005507,582836,0,546,0,0
7,88,0.005628,93670,89,0.005655,570000,0,534,0,0
8,116,0.003678,123473,115,0.004931,736562,0,690,0,0
9,133,0.003659,141565,134,0.003804,858224,0,804,0,0
10,115,0.004289,122407,115,0.004412,736538,0,690,0,0
11,136,0.003723,144753,135,0.003625,864642,0,810,0,0
12,125,0.00379,133046,126,0.004158,806988,0,756,0,0
13,35,0.004283,37256,35,0.024226,224170,0,210,0,0
14,109,0.003598,116013,109,0.005534,698110,0,654,0,0
15,140,0.003601,149015,139,0.003558,890284,0,834,0,0
16,137,0.003593,145809,138,0.00366,883844,0,828,0,0
17,121,0.00396,128795,121,0.004278,774950,0,726,0,0
18,110,0.003553,117092,109,0.004232,698128,0,654,0,0
19,103,0.003864,109628,103,0.007223,658641,1,617,0,0
20,158,0.002918,168171,158,0.003385,1011950,0,948,0,0
21,142,0.003146,151148,143,0.003853,914817,1,857,0,0
22,133,0.00353,141565,132,0.004004,844355,1,791,0,0
23,154,0.003054,163921,155,0.003383,992734,0,930,0,0
24,138,0.003576,146890,137,0.003658,876373,1,821,0,0
25,124,0.003504,131983,125,0.004495,800570,0,750,0,0
26,99,0.005749,105376,98,0.003344,626585,1,587,0,0
27,110,0.003624,117089,110,0.006391,704486,0,660,0,0
28,120,0.003968,127730,120,0.004247,768554,0,720,0,0
29,138,0.003539,146881,138,0.003745,883830,0,828,0,0
30,123,0.00417,130908,124,0.003898,794156,0,744,0,0
31,118,0.004457,125596,118,0.003982,755746,0,708,0,0
32,141,0.00334,150082,141,0.003743,903044,0,846,0,0
33,104,0.004309,110705,103,0.005324,659664,0,618,0,0
34,126,0.003709,134115,126,0.004213,806962,0,756,0,0
35,128,0.00426,136247,128,0.00352,819760,0,768,0,0
36,124,0.003774,131988,125,0.004208,800596,0,750,0,0
37,138,0.003158,146887,137,0.004121,877450,0,822,0,0
38,143,0.003381,152200,143,0.003577,915874,0,858,0,0
39,140,0.003321,149018,140,0.003744,896660,0,840,0,0
40,147,0.003324,156458,148,0.003493,946849,1,887,0,0
41,126,0.003653,134113,126,0.004253,806958,0,756,0,0
42,143,0.003205,152201,143,0.003774,915846,0,858,0,0
43,129,0.003584,137304,129,0.004111,826212,0,774,0,0
44,109,0.0042,116008,109,0.004992,698078,0,654,0,0
45,147,0.002929,156462,147,0.003846,941506,0,882,0,0
46,168,0.002874,178820,167,0.003076,1069592,0,1002,0,0
47,131,0.003752,139432,132,0.00381,845428,0,792,0,0
48,114,0.004233,121349,114,0.004532,730124,0,684,0,0
