Clients	Avg	Std Dev
6	847798.353186	7379.66608383
24	1236168.23481	14728.0425362
48	1617572.11445	42001.3412171
72	1891456.32395	75861.4809363
96	2246712.82508	52396.1531929
120	2342706.49058	105798.599714
144	2770200.31056	503404.964577
168	2605781.10138	148315.981324
192	2758609.3322	27610.6084349
