S1 Load	S2 Load	S3 Load
5443	5443	5443
5459	5459	5459
5409	5409	5409
5427	5427	5427
5469	5469	5469
5443	5443	5443
5455	5455	5455
5319	5319	5319
5475	5475	5475
5425	5425	5425
5419	5419	5419
5524	5524	5524
5446	5446	5446
5485	5485	5485
5576	5576	5576
5447	5447	5447
5381	5381	5381
5506	5506	5506
5428	5428	5428
5488	5488	5488
5425	5425	5425
5420	5420	5420
5481	5481	5481
5453	5453	5453
5444	5444	5444
5491	5491	5491
5508	5508	5508
5386	5386	5386
5420	5420	5420
5407	5407	5407
5590	5590	5590
5440	5440	5440
5569	5569	5569
5433	5433	5433
5568	5568	5568
5454	5454	5454
5522	5522	5522
5510	5510	5510
5468	5468	5468
5365	5365	5365
5433	5433	5433
5495	5495	5495
5537	5537	5537
5342	5342	5342
5455	5455	5455
5492	5492	5492
5406	5406	5406
5538	5538	5538
5448	5448	5448
5472	5472	5472
5446	5446	5446
5443	5443	5443
5505	5505	5505
5486	5486	5486
5510	5510	5510
5462	5462	5462
5447	5447	5447
5395	5395	5395
5521	5521	5521
5526	5526	5526
5331	5331	5331
5547	5547	5547
5424	5424	5424
5523	5523	5523
