S1 Load	S2 Load	S3 Load
7076	7076	7076
7045	7045	7045
7031	7031	7031
7048	7048	7048
7050	7050	7050
7051	7051	7051
7086	7086	7086
7099	7099	7099
7097	7097	7097
7057	7057	7057
7061	7061	7061
7061	7061	7061
7066	7066	7066
7050	7050	7050
7086	7086	7086
7085	7085	7085
7041	7041	7041
7111	7111	7111
7017	7017	7017
7105	7105	7105
7153	7153	7153
7042	7042	7042
6866	6866	6866
7057	7057	7057
7030	7030	7030
7022	7022	7022
7031	7031	7031
6992	6992	6992
7098	7098	7098
6941	6941	6941
6998	6998	6998
7061	7061	7061
