S1 Load	S2 Load	S3 Load
10707	10707	10707
10737	10737	10737
10674	10674	10674
10620	10620	10620
10826	10826	10826
10747	10747	10747
10671	10671	10671
10753	10753	10753
10649	10649	10649
10721	10721	10721
10654	10654	10654
10636	10636	10636
10727	10727	10727
10662	10662	10662
10656	10656	10656
10689	10689	10689
10523	10523	10523
10678	10678	10678
10702	10702	10702
10694	10694	10694
10794	10794	10794
10551	10551	10551
10696	10696	10696
10850	10850	10850
10605	10605	10605
10716	10716	10716
10770	10770	10770
10530	10530	10530
10743	10743	10743
10812	10812	10812
10679	10679	10679
10611	10611	10611
