S1 Load	S2 Load	S3 Load
9845	9845	9845
9819	9819	9819
9736	9736	9736
9865	9865	9865
9762	9762	9762
9887	9887	9887
9914	9914	9914
9934	9934	9934
9893	9893	9893
9802	9802	9802
10010	10010	10010
9861	9861	9861
9881	9881	9881
10055	10055	10055
9814	9814	9814
9815	9815	9815
9895	9895	9895
9857	9857	9857
9779	9779	9779
9863	9863	9863
9882	9882	9882
9903	9903	9903
10008	10008	10008
9901	9901	9901
9866	9866	9866
9792	9792	9792
9849	9849	9849
9912	9912	9912
9951	9951	9951
9887	9887	9887
9898	9898	9898
9982	9982	9982
