S1 Load	S2 Load	S3 Load
8608	8608	8608
8510	8510	8510
8525	8525	8525
8764	8764	8764
8634	8634	8634
8537	8537	8537
8422	8422	8422
8483	8483	8483
8627	8627	8627
8670	8670	8670
8674	8674	8674
8593	8593	8593
8655	8655	8655
8439	8439	8439
8494	8494	8494
8540	8540	8540
8557	8557	8557
8577	8577	8577
8599	8599	8599
8588	8588	8588
8541	8541	8541
8682	8682	8682
8623	8623	8623
8619	8619	8619
8594	8594	8594
8533	8533	8533
8487	8487	8487
8572	8572	8572
8549	8549	8549
8709	8709	8709
8634	8634	8634
8545	8545	8545
