S1 Load	S2 Load	S3 Load
5557	5557	5557
5571	5571	5571
5540	5540	5540
5549	5549	5549
5575	5575	5575
5509	5509	5509
5503	5503	5503
5648	5648	5648
5486	5486	5486
5538	5538	5538
5653	5653	5653
5566	5566	5566
5455	5455	5455
5544	5544	5544
5541	5541	5541
5580	5580	5580
5607	5607	5607
5446	5446	5446
5548	5548	5548
5584	5584	5584
5608	5608	5608
5507	5507	5507
5471	5471	5471
5479	5479	5479
5560	5560	5560
5526	5526	5526
5563	5563	5563
5533	5533	5533
5580	5580	5580
5554	5554	5554
5477	5477	5477
5519	5519	5519
5565	5565	5565
5571	5571	5571
5533	5533	5533
5460	5460	5460
5507	5507	5507
5478	5478	5478
5506	5506	5506
5502	5502	5502
5583	5583	5583
5532	5532	5532
5602	5602	5602
5590	5590	5590
5544	5544	5544
5561	5561	5561
5476	5476	5476
5583	5583	5583
5526	5526	5526
5581	5581	5581
5586	5586	5586
5532	5532	5532
5552	5552	5552
5559	5559	5559
5561	5561	5561
5621	5621	5621
5522	5522	5522
5643	5643	5643
5560	5560	5560
5530	5530	5530
5514	5514	5514
5574	5574	5574
5497	5497	5497
5648	5648	5648
