S1 Load	S2 Load	S3 Load
5576	5576	5576
5526	5526	5526
5479	5479	5479
5525	5525	5525
5611	5611	5611
5592	5592	5592
5592	5592	5592
5604	5604	5604
5651	5651	5651
5544	5544	5544
5667	5667	5667
5621	5621	5621
5681	5681	5681
5536	5536	5536
5647	5647	5647
5646	5646	5646
5601	5601	5601
5515	5515	5515
5660	5660	5660
5596	5596	5596
5627	5627	5627
5681	5681	5681
5526	5526	5526
5582	5582	5582
5628	5628	5628
5615	5615	5615
5554	5554	5554
5584	5584	5584
5521	5521	5521
5671	5671	5671
5682	5682	5682
5591	5591	5591
5562	5562	5562
5633	5633	5633
5620	5620	5620
5549	5549	5549
5510	5510	5510
5562	5562	5562
5559	5559	5559
5575	5575	5575
5643	5643	5643
5547	5547	5547
5626	5626	5626
5658	5658	5658
5724	5724	5724
5555	5555	5555
5570	5570	5570
5593	5593	5593
5496	5496	5496
5588	5588	5588
5524	5524	5524
5529	5529	5529
5676	5676	5676
5602	5602	5602
5554	5554	5554
5566	5566	5566
5599	5599	5599
5669	5669	5669
5480	5480	5480
5471	5471	5471
5579	5579	5579
5641	5641	5641
5495	5495	5495
5697	5697	5697
