S1 Load	S2 Load	S3 Load
8798	8798	8798
8651	8651	8651
8700	8700	8700
8875	8875	8875
8651	8651	8651
8749	8749	8749
8610	8610	8610
8830	8830	8830
8788	8788	8788
8758	8758	8758
8768	8768	8768
8766	8766	8766
8779	8779	8779
8671	8671	8671
8806	8806	8806
8743	8743	8743
8722	8722	8722
8656	8656	8656
8762	8762	8762
8777	8777	8777
8715	8715	8715
8716	8716	8716
8590	8590	8590
8739	8739	8739
8824	8824	8824
8691	8691	8691
8897	8897	8897
8676	8676	8676
8717	8717	8717
8747	8747	8747
8705	8705	8705
8649	8649	8649
