S1 Load	S2 Load	S3 Load
3480	3480	3480
3583	3583	3583
3500	3500	3500
3479	3479	3479
3565	3565	3565
3429	3429	3429
3533	3533	3533
3523	3523	3523
3477	3477	3477
3489	3489	3489
3496	3496	3496
3440	3440	3440
3432	3432	3432
3437	3437	3437
3500	3500	3500
3471	3471	3471
3417	3417	3417
3500	3500	3500
3519	3519	3519
3478	3478	3478
3517	3517	3517
3438	3438	3438
3539	3539	3539
3507	3507	3507
3495	3495	3495
3495	3495	3495
3509	3509	3509
3516	3516	3516
3580	3580	3580
3473	3473	3473
3493	3493	3493
3496	3496	3496
3483	3483	3483
3459	3459	3459
3587	3587	3587
3516	3516	3516
3572	3572	3572
3508	3508	3508
3440	3440	3440
3575	3575	3575
3510	3510	3510
3455	3455	3455
3537	3537	3537
3512	3512	3512
3570	3570	3570
3443	3443	3443
3466	3466	3466
3489	3489	3489
3533	3533	3533
3529	3529	3529
3475	3475	3475
3469	3469	3469
3538	3538	3538
3502	3502	3502
3388	3388	3388
3438	3438	3438
3476	3476	3476
3517	3517	3517
3496	3496	3496
3534	3534	3534
3567	3567	3567
3478	3478	3478
3509	3509	3509
3435	3435	3435
