Per-Second Benchmark Data,,,,,,,,,,
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses, GET Hits,WAIT Requests,WAIT Average Latency
0,60,0.007466,63868,59,0.009292,189220,0,177,0,0
1,108,0.004846,114956,108,0.004359,346400,0,324,0,0
2,137,0.003717,145820,137,0.00357,439424,0,411,0,0
3,141,0.00349,150086,141,0.003613,452222,0,423,0,0
4,159,0.003007,169250,159,0.003173,509950,0,477,0,0
5,153,0.003471,162849,154,0.003016,493938,0,462,0,0
6,151,0.00364,160721,150,0.003048,481082,0,450,0,0
7,139,0.004101,147957,139,0.00311,445830,0,417,0,0
8,173,0.00285,184134,174,0.002862,558090,0,522,0,0
9,188,0.002743,200112,188,0.002581,602980,0,564,0,0
10,157,0.003067,167122,157,0.002797,503558,0,471,0,0
11,158,0.003863,168165,158,0.002925,506752,0,474,0,0
12,182,0.002633,193723,182,0.002556,583730,0,546,0,0
13,133,0.004505,141553,133,0.003363,426588,0,399,0,0
14,198,0.002576,210759,198,0.002455,635032,0,594,0,0
15,198,0.002722,210735,198,0.002303,635060,0,594,0,0
16,145,0.003401,154331,144,0.003497,461870,0,432,0,0
17,170,0.00293,180952,171,0.002841,548438,0,513,0,0
18,176,0.002991,187328,175,0.002767,561304,0,525,0,0
19,176,0.003103,187322,177,0.002525,567718,0,531,0,0
20,149,0.004035,158600,148,0.002691,474684,0,444,0,0
21,161,0.003438,171366,161,0.002755,516388,0,483,0,0
22,147,0.00358,156466,148,0.00316,474698,0,444,0,0
23,175,0.003105,186264,174,0.002618,558064,0,522,0,0
24,203,0.002301,216062,204,0.002592,653235,1,611,0,0
25,164,0.002868,174552,163,0.003228,522834,0,489,0,0
26,160,0.003286,170307,160,0.002926,513158,0,480,0,0
27,141,0.003529,150077,141,0.003545,452248,0,423,0,0
28,184,0.002687,195838,184,0.002596,590144,0,552,0,0
29,155,0.002743,164967,156,0.003683,500354,0,468,0,0
