Per-Second Benchmark Data,,,,,,,,,,
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses, GET Hits,WAIT Requests,WAIT Average Latency
0,91,0.005675,96863,90,0.005333,96818,0,90,0,0
1,100,0.005407,106439,101,0.004535,108666,0,101,0,0
2,117,0.005061,124534,117,0.00346,125876,0,117,0,0
3,114,0.005103,121345,114,0.003656,122648,0,114,0,0
4,129,0.003809,137305,128,0.003956,137708,0,128,0,0
5,181,0.00288,192655,181,0.002593,194714,0,181,0,0
6,146,0.003591,155393,146,0.003227,157052,0,146,0,0
7,151,0.003423,160724,151,0.003232,162450,0,151,0,0
8,220,0.002189,234170,221,0.002325,237728,0,221,0,0
9,196,0.002552,208608,196,0.002533,210844,0,196,0,0
10,216,0.002288,229907,216,0.002318,232372,0,216,0,0
11,187,0.002729,199036,186,0.002619,200096,0,186,0,0
12,223,0.002266,237356,224,0.002189,240976,0,224,0,0
13,230,0.002375,244805,230,0.001954,247434,0,230,0,0
14,169,0.003417,179878,169,0.002477,181816,0,169,0,0
15,182,0.002803,193725,182,0.002674,195798,0,182,0,0
16,175,0.003033,186281,174,0.002682,187170,0,174,0,0
17,224,0.002304,238428,224,0.002119,240974,0,224,0,0
18,215,0.002393,228846,215,0.002267,231296,0,215,0,0
19,231,0.002282,245882,232,0.002021,249582,0,232,0,0
20,213,0.002455,226719,213,0.002217,229128,0,213,0,0
21,211,0.002336,224585,210,0.002404,225914,0,210,0,0
22,225,0.002253,239488,225,0.002175,242036,0,225,0,0
23,216,0.002626,229897,217,0.001976,233442,0,217,0,0
24,188,0.002868,200109,188,0.002424,202244,0,188,0,0
25,211,0.002613,224602,210,0.002046,225914,0,210,0,0
26,152,0.004032,161789,153,0.002627,164594,0,153,0,0
27,202,0.002657,215014,202,0.002275,217304,0,202,0,0
28,188,0.002788,200095,188,0.002505,201195,1,187,0,0
29,193,0.00315,205430,192,0.002032,206556,0,192,0,0
30,166,0.002752,176699,166,0.003255,178568,0,166,0,0
31,213,0.002569,226715,213,0.002102,229140,0,213,0,0
32,220,0.002172,234159,221,0.002333,237760,0,221,0,0
33,208,0.002585,221390,207,0.002234,222688,0,207,0,0
34,209,0.002513,222459,209,0.002254,223773,1,208,0,0
35,226,0.00233,240540,227,0.002071,244210,0,227,0,0
36,206,0.002494,219268,205,0.002353,220542,0,205,0,0
37,220,0.002457,234146,221,0.002061,237744,0,221,0,0
38,217,0.0024,230961,217,0.002192,233436,0,217,0,0
39,228,0.00224,242679,228,0.002124,245276,0,228,0,0
