Per-Second Benchmark Data,,,,,,,,,,
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses, GET Hits,WAIT Requests,WAIT Average Latency
0,51,0.008489,54288,51,0.011054,163566,0,153,0,0
1,117,0.004177,124536,117,0.004185,375262,0,351,0,0
2,126,0.004143,134111,126,0.00393,404138,0,378,0,0
3,137,0.003555,145829,136,0.003694,436196,0,408,0,0
4,157,0.003008,167116,157,0.003394,503530,0,471,0,0
5,169,0.002991,179884,170,0.002865,545256,0,510,0,0
6,173,0.003199,184141,173,0.002579,554852,0,519,0,0
7,199,0.002502,211810,199,0.002434,638284,0,597,0,0
8,194,0.002699,206496,193,0.002518,619014,0,579,0,0
9,209,0.002332,222466,210,0.00241,673542,0,630,0,0
10,194,0.00253,206492,193,0.002622,619012,0,579,0,0
11,208,0.002432,221390,208,0.002349,667126,0,624,0,0
12,186,0.002605,197979,186,0.002731,596556,0,558,0,0
13,179,0.002858,190526,180,0.002721,577316,0,540,0,0
14,220,0.002348,234146,219,0.002164,702428,0,657,0,0
15,207,0.002505,220336,208,0.002306,667112,0,624,0,0
16,206,0.002549,219261,206,0.002294,660734,0,618,0,0
17,178,0.002847,189451,177,0.00274,567712,0,531,0,0
18,191,0.002275,203305,192,0.002942,615798,0,576,0,0
19,190,0.002931,202236,189,0.002205,606210,0,567,0,0
20,179,0.002716,190520,180,0.002747,577314,0,540,0,0
21,159,0.003754,169237,158,0.002773,506756,0,474,0,0
22,149,0.004228,158580,150,0.002423,480047,1,449,0,0
23,197,0.002714,209689,197,0.002352,631872,0,591,0,0
24,195,0.002394,207550,194,0.002724,622220,0,582,0,0
25,192,0.002944,204358,192,0.002253,615808,0,576,0,0
26,190,0.002698,202215,190,0.002541,608359,1,569,0,0
27,181,0.002822,192651,181,0.002689,580526,0,543,0,0
28,195,0.002559,207544,196,0.002534,628644,0,588,0,0
29,204,0.002286,217138,204,0.00259,654292,0,612,0,0
30,194,0.002657,206487,194,0.002482,622186,0,582,0,0
31,197,0.00263,209680,196,0.002431,628622,0,588,0,0
32,179,0.002822,190523,180,0.002738,577300,0,540,0,0
33,200,0.002808,212884,200,0.00217,641452,0,600,0,0
34,213,0.002436,226724,213,0.002237,683138,0,639,0,0
35,176,0.002939,187335,175,0.002736,561286,0,525,0,0
36,187,0.002808,199045,188,0.002504,602950,0,564,0,0
37,197,0.002656,209687,197,0.002398,631838,0,591,0,0
38,190,0.002699,202245,189,0.002551,606208,0,567,0,0
39,177,0.002904,188392,178,0.002712,570890,0,534,0,0
40,189,0.002831,201161,189,0.002425,606190,0,567,0,0
41,181,0.002824,192655,180,0.002717,577318,0,540,0,0
42,188,0.002783,200102,188,0.00249,602964,0,564,0,0
43,214,0.002385,227780,214,0.002289,686322,0,642,0,0
44,191,0.002284,203309,191,0.002927,612606,0,573,0,0
45,211,0.002496,224595,212,0.002217,679942,0,636,0,0
46,202,0.002595,215007,201,0.002328,644674,0,603,0,0
47,182,0.00254,193720,182,0.002943,583728,0,546,0,0
48,193,0.00264,205432,193,0.002514,619054,0,579,0,0
49,172,0.002863,183076,172,0.002652,551658,0,516,0,0
50,155,0.003331,164985,155,0.003408,497114,0,465,0,0
51,154,0.003789,163924,155,0.002653,497142,0,465,0,0
52,161,0.003489,171370,160,0.002688,513176,0,480,0,0
53,206,0.002399,219261,207,0.002439,663926,0,621,0,0
54,192,0.002694,204373,192,0.00249,615792,0,576,0,0
55,178,0.002634,189471,177,0.002959,567682,0,531,0,0
56,205,0.002415,218206,205,0.002475,657520,0,615,0,0
57,188,0.00259,200095,189,0.00269,606196,0,567,0,0
58,135,0.003792,143700,135,0.003588,432988,0,405,0,0
59,200,0.002658,212876,200,0.002294,641448,0,600,0,0
60,174,0.002661,185221,174,0.003073,558088,0,522,0,0
61,166,0.002997,176676,166,0.003002,532416,0,498,0,0
62,167,0.002712,177759,166,0.003268,532428,0,498,0,0
63,131,0.003987,139440,132,0.003596,423372,0,396,0,0
64,184,0.002872,195833,184,0.002531,590152,0,552,0,0
65,192,0.002838,204354,191,0.002366,612590,0,573,0,0
66,150,0.00353,159668,150,0.003103,481106,0,450,0,0
67,197,0.002458,209702,198,0.002577,635038,0,594,0,0
68,174,0.003199,185209,174,0.00252,558064,0,522,0,0
69,193,0.002711,205431,193,0.00247,619024,0,579,0,0
70,218,0.002367,232028,218,0.002193,699200,0,654,0,0
71,165,0.003174,175634,164,0.002872,525998,0,492,0,0
72,204,0.002526,217130,204,0.002369,654272,0,612,0,0
73,182,0.002834,193714,183,0.002628,586956,0,549,0,0
74,184,0.002849,195854,184,0.002556,590160,0,552,0,0
75,199,0.002399,211815,199,0.002605,638234,0,597,0,0
76,181,0.002825,192663,180,0.002699,577350,0,540,0,0
77,173,0.002516,184144,173,0.003241,553831,1,518,0,0
78,190,0.002542,202226,190,0.002339,609380,0,570,0,0
79,153,0.00358,162838,153,0.003376,490732,0,459,0,0
80,0,0,0,1,0.005673,3206,0,3,0,0
,186.352112676056,,,186.366197183099,,,,,,
Full-Test GET Latency,,,,,,,,,,
Latency (<= msec),Percent,,,,,,,,,
0.63,0.01,,,14516,14516,,,,,
0.66,0.01,,,,,,,,,
0.67,0.02,,,,,,,,,
0.7,0.04,,,,,,,,,
0.71,0.05,,,,,,,,,
0.72,0.06,,,,,,,,,
0.73,0.08,,,,,,,,,
0.74,0.1,,,,,,,,,
0.75,0.12,,,,,,,,,
0.76,0.14,,,,,,,,,
0.77,0.17,,,,,,,,,
0.78,0.25,,,,,,,,,
0.79,0.3,,,,,,,,,
0.8,0.33,,,,,,,,,
0.81,0.37,,,,,,,,,
0.82,0.45,,,,,,,,,
0.83,0.52,,,,,,,,,
0.84,0.6,,,,,,,,,
0.85,0.69,,,,,,,,,
0.86,0.78,,,,,,,,,
0.87,0.9,,,,,,,,,
0.88,1.01,,,,,,,,,
0.89,1.15,,,,,,,,,
0.9,1.33,,,,,,,,,
0.91,1.49,,,,,,,,,
0.92,1.66,,,,,,,,,
0.93,1.83,,,,,,,,,
0.94,2.07,,,,,,,,,
0.95,2.28,,,,,,,,,
0.96,2.56,,,,,,,,,
0.97,2.76,,,,,,,,,
0.98,3,,,,,,,,,
0.99,3.17,,,,,,,,,
1,5.07,,,,,,,,,
1.1,9.96,,,,,,,,,
1.2,16.84,,,,,,,,,
1.3,24.81,,,,,,,,,
1.4,32.44,,,,,,,,,
1.5,39.89,,,,,,,,,
1.6,46.26,,,,,,,,,
1.7,51.45,,,,,,,,,
1.8,55.93,,,,,,,,,
1.9,59.23,,,,,,,,,
2,62.15,,,,,,,,,
2.1,64.38,,,,,,,,,
2.2,66.57,,,,,,,,,
2.3,68.2,,,,,,,,,
2.4,69.78,,,,,,,,,
2.5,71.18,,,,,,,,,
2.6,72.23,,,,,,,,,
