Per-Second Benchmark Data,,,,,,,,,,,,
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses, GET Hits,WAIT Requests,WAIT Average Latency,,
0,50,0.010362,53215,49,0.008585,470518,0,441,0,0,,
1,67,0.007133,71321,68,0.008526,652940,0,612,0,0,,
2,111,0.004005,118141,110,0.004979,1056206,0,990,0,0,,
3,123,0.003481,130914,124,0.004624,1190654,0,1116,0,0,,
4,125,0.003525,133051,124,0.004469,1190638,0,1116,0,0,,
5,126,0.003372,134120,127,0.00452,1219460,0,1143,0,0,,
6,132,0.003631,140506,131,0.003892,1257882,0,1179,0,0,,
7,129,0.00354,137303,130,0.004168,1247199,1,1169,0,0,,
8,136,0.0037,144777,135,0.003691,1295223,1,1214,0,0,,
9,142,0.003433,151145,143,0.003541,1373098,0,1287,0,0,,
10,152,0.003248,161794,151,0.003371,1449926,0,1359,0,0,,
11,162,0.002885,172424,162,0.003254,1554469,1,1457,0,0,,
12,143,0.003387,152203,143,0.003611,1373134,0,1287,0,0,,
13,134,0.004002,142633,135,0.003384,1295209,1,1214,0,0,,
14,142,0.00266,151150,142,0.004335,1362459,1,1277,0,0,,
15,150,0.003238,159646,150,0.003424,1439251,1,1349,0,0,,
16,155,0.003061,164974,155,0.003397,1487245,1,1394,0,0,,
17,131,0.003271,139431,131,0.004328,1257850,0,1179,0,0,,
18,147,0.003289,156471,147,0.003468,1411472,0,1323,0,0,,
19,132,0.003392,140489,131,0.004054,1257818,0,1179,0,0,,
20,132,0.003282,140492,132,0.004445,1267456,0,1188,0,0,,
21,146,0.003041,155389,147,0.003715,1410417,1,1322,0,0,,
22,147,0.003229,156467,146,0.003601,1401842,0,1314,0,0,,
23,149,0.002995,158606,149,0.003683,1430686,0,1341,0,0,,
24,149,0.003529,158598,149,0.00318,1430712,0,1341,0,0,,
25,131,0.003209,139435,132,0.00437,1267448,0,1188,0,0,,
26,150,0.003254,159660,150,0.003402,1440262,0,1350,0,0,,
27,157,0.003153,167106,156,0.003225,1497866,0,1404,0,0,,
28,152,0.003231,161780,152,0.00332,1459490,0,1368,0,0,,
29,86,0.003217,91530,86,0.008366,825760,0,774,0,0,,
30,129,0.00378,137316,129,0.003961,1236584,2,1159,0,0,,
31,155,0.002871,164988,156,0.003397,1497874,0,1404,0,0,,
32,163,0.003347,173497,163,0.002829,1564113,1,1466,0,0,,
33,160,0.003149,170293,160,0.003134,1536326,0,1440,0,0,,
34,150,0.00344,159653,149,0.003224,1430736,0,1341,0,0,,
35,119,0.003982,126664,119,0.004073,1142626,0,1071,0,0,,
36,138,0.003212,146890,138,0.004307,1325068,0,1242,0,0,,
37,149,0.002987,158602,150,0.003686,1440294,0,1350,0,0,,
38,121,0.002866,128793,121,0.005358,1161866,0,1089,0,0,,
39,152,0.003109,161779,151,0.003482,1449882,0,1359,0,0,,
40,134,0.003428,142635,135,0.00398,1296258,0,1215,0,0,,
41,147,0.003278,156476,146,0.00353,1399800,2,1312,0,0,,
42,137,0.003841,145818,137,0.003434,1314417,1,1232,0,0,,
43,153,0.002839,162859,154,0.003637,1478652,0,1386,0,0,,
44,142,0.003812,151143,142,0.003204,1363486,0,1278,0,0,,
45,139,0.003351,147945,139,0.003824,1333609,1,1250,0,0,,
46,154,0.00311,163920,154,0.003362,1475567,3,1383,0,0,,
47,150,0.003565,159640,150,0.003077,1440268,0,1350,0,0,,
48,144,0.003312,153279,144,0.00361,1382638,0,1296,0,0,,
49,152,0.003062,161792,152,0.00338,1459488,0,1368,0,0,,
50,150,0.003353,159651,149,0.003414,1429607,1,1340,0,0,,
51,171,0.002692,182003,171,0.003144,1641964,0,1539,0,0,,
52,154,0.003189,163914,154,0.003255,1478712,0,1386,0,0,,
53,115,0.004326,122410,115,0.004271,1104246,0,1035,0,0,,
54,145,0.003111,154338,145,0.003841,1392330,0,1305,0,0,,
55,150,0.003082,159663,150,0.003583,1440312,0,1350,0,0,,
56,134,0.003653,142633,134,0.003786,1285625,1,1205,0,0,,
57,143,0.00337,152197,144,0.003556,1382698,0,1296,0,0,,
58,129,0.003952,137304,128,0.003816,1228007,1,1151,0,0,,
59,132,0.0033,140494,132,0.004226,1266427,1,1187,0,0,,
60,117,0.00356,124531,118,0.004492,1133050,0,1062,0,0,,
61,120,0.004507,127732,120,0.004253,1152272,0,1080,0,0,,
62,108,0.003972,114953,108,0.005295,1035975,1,971,0,0,,
63,145,0.0031,154338,144,0.003775,1381675,1,1295,0,0,,
64,139,0.003384,147950,139,0.003764,1334680,0,1251,0,0,,
65,157,0.002842,167106,157,0.003549,1507526,0,1413,0,0,,
66,137,0.003499,145818,138,0.003731,1323993,1,1241,0,0,,
