Per-Second Benchmark Data,,,,,,,,,,,,
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses, GET Hits,WAIT Requests,WAIT Average Latency,,
0,49,0.009862,52151,48,0.01074,460916,0,432,0,0,,
1,90,0.005197,95804,90,0.005887,864190,0,810,0,0,,
2,86,0.005506,91528,86,0.006102,825754,0,774,0,0,,
3,120,0.003702,127721,121,0.004568,1161850,0,1089,0,0,,
4,109,0.00439,116016,109,0.004721,1046592,0,981,0,0,,
5,123,0.003527,130935,122,0.004537,1171460,0,1098,0,0,,
6,122,0.004277,129857,122,0.004024,1171462,0,1098,0,0,,
7,141,0.003075,150077,142,0.00391,1363500,0,1278,0,0,,
8,96,0.003701,102188,95,0.00363,912178,0,855,0,0,,
9,101,0.004265,107516,101,0.008615,969802,0,909,0,0,,
10,131,0.00379,139440,132,0.003794,1267474,0,1188,0,0,,
11,147,0.003357,156472,146,0.003441,1401910,0,1314,0,0,,
12,136,0.003552,144747,136,0.003806,1304821,1,1223,0,0,,
13,119,0.004788,126658,119,0.003591,1142676,0,1071,0,0,,
14,116,0.003717,123472,116,0.004848,1113858,0,1044,0,0,,
15,135,0.003711,143696,135,0.003708,1294128,2,1213,0,0,,
16,119,0.004761,126665,119,0.003602,1142690,0,1071,0,0,,
17,148,0.003429,157525,149,0.003295,1429635,1,1340,0,0,,
18,168,0.002886,178799,168,0.003027,1612085,1,1511,0,0,,
19,159,0.002806,169253,158,0.003486,1517092,0,1422,0,0,,
20,112,0.004585,119203,112,0.004318,1075370,0,1008,0,0,,
21,99,0.003009,105362,99,0.00707,950586,0,891,0,0,,
22,156,0.002837,166031,157,0.003526,1507504,0,1413,0,0,,
23,136,0.003379,144762,136,0.003949,1305844,0,1224,0,0,,
24,167,0.002964,177760,166,0.003024,1593904,0,1494,0,0,,
25,173,0.00277,184143,174,0.002953,1670744,0,1566,0,0,,
26,168,0.002868,178820,167,0.003093,1603508,0,1503,0,0,,
27,139,0.003559,147952,140,0.003588,1344246,0,1260,0,0,,
28,152,0.002854,161785,151,0.003711,1449842,0,1359,0,0,,
29,150,0.003165,159652,151,0.003301,1449888,0,1359,0,0,,
30,102,0.004767,108557,102,0.005263,979400,0,918,0,0,,
31,142,0.00293,151153,141,0.004114,1353910,0,1269,0,0,,
32,172,0.002664,183088,173,0.003108,1661128,0,1557,0,0,,
33,152,0.003349,161784,152,0.003219,1459532,0,1368,0,0,,
34,114,0.003513,121336,113,0.003139,1085044,0,1017,0,0,,
35,135,0.002939,143686,135,0.005691,1296266,0,1215,0,0,,
36,134,0.003672,142628,134,0.004338,1286694,0,1206,0,0,,
37,134,0.003415,142628,134,0.003979,1286658,0,1206,0,0,,
38,142,0.003108,151146,142,0.003919,1363484,0,1278,0,0,,
39,160,0.003074,170311,160,0.003183,1536318,0,1440,0,0,,
40,144,0.003169,153269,144,0.003755,1382710,0,1296,0,0,,
41,155,0.00288,164981,155,0.003568,1488274,0,1395,0,0,,
42,145,0.003327,154347,145,0.003524,1390194,2,1303,0,0,,
43,151,0.003442,160723,151,0.003172,1449892,0,1359,0,0,,
44,133,0.003161,141570,133,0.004348,1277012,0,1197,0,0,,
45,149,0.002839,158595,150,0.003818,1440302,0,1350,0,0,,
46,146,0.003787,155395,145,0.003069,1391225,1,1304,0,0,,
47,151,0.002953,160726,151,0.003648,1446759,3,1356,0,0,,
48,157,0.003014,167091,158,0.003315,1517082,0,1422,0,0,,
49,137,0.003456,145828,136,0.003841,1305824,0,1224,0,0,,
50,149,0.002951,158597,150,0.003698,1440282,0,1350,0,0,,
51,117,0.003716,124529,117,0.004828,1122347,1,1052,0,0,,
52,123,0.003132,130900,122,0.005015,1171462,0,1098,0,0,,
53,144,0.003554,153295,144,0.003338,1382674,0,1296,0,0,,
54,116,0.004737,123452,117,0.003868,1123460,0,1053,0,0,,
