S1 Load	S2 Load	S3 Load
453	479	472
494	502	447
464	454	490
462	502	478
503	471	499
501	476	449
470	435	446
446	486	451
466	500	495
502	495	458
492	483	476
513	475	455
506	441	444
452	472	463
458	439	476
485	475	464
481	474	486
459	498	431
470	469	469
459	485	461
437	483	459
496	473	477
479	475	475
482	462	465
491	458	461
467	469	467
471	441	490
501	481	461
485	464	497
466	453	462
486	467	444
442	500	447
456	487	440
449	445	492
469	463	452
461	473	492
494	468	469
448	467	472
457	446	492
466	506	480
452	466	475
477	460	472
482	437	443
472	517	452
488	486	460
421	472	482
498	477	489
466	503	492
457	440	470
470	459	488
485	471	470
483	487	503
473	434	484
448	493	499
481	474	458
482	475	461
472	457	506
448	471	449
456	489	501
477	460	495
428	448	509
484	444	496
456	487	454
481	477	463

AVG: 471.5	471.5	471.484375
