S1 Load	S2 Load	S3 Load
492	469	468
458	484	489
441	449	470
468	472	463
481	448	489
480	483	460
489	466	467
476	437	481
465	473	511
449	505	480
472	466	477
425	476	499
476	491	457
484	455	503
477	491	492
470	454	477
433	469	466
463	492	511
492	492	479
492	460	434
502	491	450
471	469	467
460	483	464
469	496	432
469	451	500
545	462	498
443	465	452
452	448	482
506	484	478
509	479	497
479	458	501
465	479	465
470	465	462
478	476	404
483	457	445
479	476	490
452	473	486
450	486	460
492	491	480
481	458	452
465	457	517
453	491	471
470	445	483
464	467	474
503	476	447
495	469	443
487	454	491
481	491	492
447	455	487
478	409	480
477	500	477
473	481	465
466	480	421
492	489	482
455	472	442
457	456	481
445	482	476
469	489	465
468	451	436
468	481	483
478	511	420
476	479	478
450	464	489
448	475	465

AVG: 471.921875	471.921875	471.921875
