Per-Second Benchmark Data,,,,,,,,,,
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses, GET Hits,WAIT Requests,WAIT Average Latency
0,63,0.007475,67058,62,0.008437,397096,0,372,0,0
1,98,0.004845,104318,99,0.005305,634082,0,594,0,0
2,118,0.004244,125598,117,0.004204,749348,0,702,0,0
3,122,0.003913,129859,122,0.004278,781356,0,732,0,0
4,128,0.003649,136242,129,0.004126,826184,0,774,0,0
5,135,0.003659,143698,135,0.003722,864628,0,810,0,0
6,134,0.003633,142631,134,0.003805,858248,0,804,0,0
7,132,0.003595,140502,131,0.003997,839000,0,786,0,0
8,155,0.003163,164979,156,0.003239,999142,0,936,0,0
9,144,0.003204,153267,143,0.003743,915880,0,858,0,0
10,165,0.00299,175624,165,0.003048,1056762,0,990,0,0
11,149,0.003454,158596,150,0.003182,960726,0,900,0,0
12,165,0.002881,175616,165,0.003184,1056768,0,990,0,0
13,170,0.002814,180948,169,0.003058,1082400,0,1014,0,0
14,170,0.00275,180953,170,0.003114,1087759,1,1019,0,0
15,162,0.003046,172423,162,0.003097,1037572,0,972,0,0
16,174,0.002878,185209,174,0.002854,1114420,0,1044,0,0
17,161,0.003071,171365,162,0.003083,1036519,1,971,0,0
18,160,0.003061,170316,159,0.003196,1018326,0,954,0,0
19,151,0.003166,160715,151,0.00343,967088,0,906,0,0
20,163,0.002791,173504,163,0.00332,1042881,1,977,0,0
21,147,0.003385,156468,148,0.003365,947858,0,888,0,0
22,160,0.002996,170304,159,0.003249,1018342,0,954,0,0
23,165,0.00313,175609,166,0.002896,1063136,0,996,0,0
24,157,0.003186,167110,156,0.00318,999128,0,936,0,0
25,160,0.003121,170310,160,0.003075,1024726,0,960,0,0
26,166,0.00286,176692,166,0.00317,1063158,0,996,0,0
27,168,0.002754,178824,168,0.003161,1075916,0,1008,0,0
28,167,0.002916,177756,168,0.003022,1075996,0,1008,0,0
29,163,0.003001,173494,162,0.003135,1037584,0,972,0,0
30,159,0.00295,169238,159,0.0033,1018344,0,954,0,0
31,167,0.002796,177747,168,0.003153,1076004,0,1008,0,0
32,175,0.002897,186265,174,0.002815,1114362,0,1044,0,0
33,164,0.002828,174550,165,0.003216,1056760,0,990,0,0
34,167,0.002795,177747,167,0.003181,1069564,0,1002,0,0
35,162,0.003012,172425,162,0.003137,1037564,0,972,0,0
36,154,0.003032,163915,153,0.003457,979944,0,918,0,0
37,165,0.002904,175628,166,0.003108,1063176,0,996,0,0
38,167,0.002889,177755,167,0.003088,1069582,0,1002,0,0
39,154,0.003089,163908,154,0.003371,986362,0,924,0,0
40,147,0.003403,156458,146,0.003394,935100,0,876,0,0
41,170,0.00293,180953,171,0.002916,1095184,0,1026,0,0
42,165,0.00292,175613,164,0.003134,1050392,0,984,0,0
43,177,0.002641,188402,177,0.002964,1133622,0,1062,0,0
44,169,0.002785,179883,170,0.003118,1088792,0,1020,0,0
45,160,0.002965,170297,159,0.003277,1018340,0,954,0,0
46,163,0.003049,173490,164,0.003049,1050398,0,984,0,0
47,168,0.002876,178802,167,0.003055,1069582,0,1002,0,0
48,166,0.002964,176693,167,0.003019,1069550,0,1002,0,0
49,158,0.003234,168169,157,0.003093,1005532,0,942,0,0
50,170,0.002926,180947,171,0.002907,1095222,0,1026,0,0
51,169,0.002987,179873,168,0.002926,1075980,0,1008,0,0
52,151,0.00319,160729,151,0.003413,967084,0,906,0,0
53,165,0.002966,175622,166,0.003046,1063162,0,996,0,0
54,166,0.003036,176687,165,0.002964,1055711,1,989,0,0
55,163,0.002978,173508,164,0.003133,1050380,0,984,0,0
56,174,0.002736,185197,173,0.002999,1106961,1,1037,0,0
57,164,0.002976,174549,165,0.00308,1056760,0,990,0,0
58,174,0.002729,185206,173,0.003013,1107968,0,1038,0,0
59,167,0.002779,177753,168,0.003172,1075972,0,1008,0,0
60,165,0.002917,175619,165,0.003116,1056738,0,990,0,0
61,170,0.002894,180948,170,0.00296,1088804,0,1020,0,0
62,149,0.003173,158595,149,0.003119,954292,0,894,0,0
63,148,0.004008,157531,147,0.003139,941514,0,882,0,0
64,165,0.002906,175631,166,0.003116,1063178,0,996,0,0
65,166,0.002724,176697,165,0.003286,1056818,0,990,0,0
66,167,0.003178,177740,168,0.002766,1075984,0,1008,0,0
67,160,0.003025,170300,159,0.003221,1018338,0,954,0,0
68,158,0.002811,168185,158,0.003495,1011950,0,948,0,0
69,170,0.002825,180927,170,0.003051,1088816,0,1020,0,0
70,158,0.002992,168167,158,0.003317,1011934,0,948,0,0
71,155,0.003312,164979,156,0.003085,999102,0,936,0,0
72,168,0.003007,178829,167,0.002949,1069588,0,1002,0,0
73,169,0.002763,179903,169,0.003131,1082396,0,1014,0,0
74,159,0.003022,169247,159,0.003243,1018364,0,954,0,0
75,155,0.00322,164980,156,0.003177,999182,0,936,0,0
76,165,0.002895,175627,164,0.003173,1050390,0,984,0,0
77,170,0.002783,180950,170,0.003076,1088794,0,1020,0,0
78,151,0.003006,160722,152,0.003564,973506,0,912,0,0
79,171,0.002811,182025,171,0.003006,1095170,0,1026,0,0
80,1,0.001948,1064,0,0,0,0,0,0,0
,161.478873239437,,,161.478873239437,,,,,,
Full-Test GET Latency,,,,,,,,,,
Latency (<= msec),Percent,,,,,,,,,
1.5,0.01,,,12652,12651,,,,,
1.6,0.36,,,,,,,,,
1.7,1.48,,,,,,,,,
1.8,4.77,,,,,,,,,
1.9,10.13,,,,,,,,,
2,17.51,,,,,,,,,
2.1,25.21,,,,,,,,,
2.2,32.96,,,,,,,,,
2.3,40.4,,,,,,,,,
2.4,46.42,,,,,,,,,
2.5,51.76,,,,,,,,,
2.6,56.46,,,,,,,,,
2.7,60.4,,,,,,,,,
2.8,63.43,,,,,,,,,
2.9,66.05,,,,,,,,,
3,68.37,,,,,,,,,
3.1,70.27,,,,,,,,,
3.2,71.83,,,,,,,,,
3.3,73.05,,,,,,,,,
3.4,74.23,,,,,,,,,
3.5,75.11,,,,,,,,,
3.6,75.88,,,,,,,,,
3.7,76.5,,,,,,,,,
3.8,77.1,,,,,,,,,
3.9,77.61,,,,,,,,,
4,77.96,,,,,,,,,
4.1,78.44,,,,,,,,,
4.2,78.86,,,,,,,,,
4.3,79.24,,,,,,,,,
4.4,79.76,,,,,,,,,
4.5,80.18,,,,,,,,,
4.6,80.6,,,,,,,,,
4.7,81.3,,,,,,,,,
4.8,82.02,,,,,,,,,
4.9,83,,,,,,,,,
5,83.85,,,,,,,,,
5.1,84.9,,,,,,,,,
5.2,85.88,,,,,,,,,
5.3,86.87,,,,,,,,,
5.4,87.81,,,,,,,,,
5.5,88.84,,,,,,,,,
5.6,89.79,,,,,,,,,
5.7,90.97,,,,,,,,,
5.8,91.76,,,,,,,,,
5.9,92.49,,,,,,,,,
6,93.18,,,,,,,,,
6.1,93.89,,,,,,,,,
6.2,94.37,,,,,,,,,
6.3,94.81,,,,,,,,,
6.4,95.23,,,,,,,,,
6.5,95.55,,,,,,,,,
6.6,95.89,,,,,,,,,
6.7,96.13,,,,,,,,,
6.8,96.36,,,,,,,,,
6.9,96.62,,,,,,,,,
7,96.85,,,,,,,,,
7.1,97.04,,,,,,,,,
7.2,97.22,,,,,,,,,
7.3,97.41,,,,,,,,,
7.4,97.46,,,,,,,,,
7.5,97.58,,,,,,,,,
7.6,97.68,,,,,,,,,
7.7,97.8,,,,,,,,,
7.8,97.86,,,,,,,,,
7.9,97.91,,,,,,,,,
8,98.05,,,,,,,,,
8.1,98.17,,,,,,,,,
8.2,98.2,,,,,,,,,
8.3,98.25,,,,,,,,,
8.4,98.35,,,,,,,,,
8.5,98.43,,,,,,,,,
8.6,98.5,,,,,,,,,
8.7,98.54,,,,,,,,,
8.8,98.6,,,,,,,,,
8.9,98.68,,,,,,,,,
9,98.76,,,,,,,,,
9.1,98.81,,,,,,,,,
9.2,98.83,,,,,,,,,
9.3,98.89,,,,,,,,,
9.4,98.94,,,,,,,,,
9.5,98.98,,,,,,,,,
9.6,99,,,,,,,,,
9.7,99.04,,,,,,,,,
9.8,99.1,,,,,,,,,
9.9,99.14,,,,,,,,,
10,99.33,,,,,,,,,
11,99.53,,,,,,,,,
12,99.62,,,,,,,,,
13,99.68,,,,,,,,,
14,99.74,,,,,,,,,
15,99.79,,,,,,,,,
16,99.83,,,,,,,,,
17,99.87,,,,,,,,,
18,99.87,,,,,,,,,
19,99.91,,,,,,,,,
20,99.93,,,,,,,,,
21,99.94,,,,,,,,,
23,99.95,,,,,,,,,
24,99.96,,,,,,,,,
26,99.97,,,,,,,,,
32,99.98,,,,,,,,,
34,99.98,,,,,,,,,
41,99.99,,,,,,,,,
53,100,,,,,,,,,
,,,,,,,,,,
Full-Test SET Latency,,,,,,,,,,
Latency (<= msec),Percent,,,,,,,,,
1.3,0.08,,,,,,,,,
1.4,0.48,,,,,,,,,
1.5,2,,,,,,,,,
1.6,5.13,,,,,,,,,
1.7,10.69,,,,,,,,,
1.8,17.53,,,,,,,,,
1.9,25.13,,,,,,,,,
2,32.73,,,,,,,,,
2.1,39.7,,,,,,,,,
2.2,46.06,,,,,,,,,
2.3,51.48,,,,,,,,,
2.4,55.87,,,,,,,,,
2.5,59.4,,,,,,,,,
2.6,62.37,,,,,,,,,
2.7,64.98,,,,,,,,,
2.8,67.14,,,,,,,,,
2.9,68.82,,,,,,,,,
3,70.19,,,,,,,,,
3.1,71.37,,,,,,,,,
3.2,72.42,,,,,,,,,
3.3,73.36,,,,,,,,,
3.4,74.1,,,,,,,,,
3.5,74.86,,,,,,,,,
3.6,75.41,,,,,,,,,
3.7,76.04,,,,,,,,,
3.8,76.56,,,,,,,,,
3.9,77.11,,,,,,,,,
4,77.55,,,,,,,,,
4.1,78.08,,,,,,,,,
4.2,78.76,,,,,,,,,
4.3,79.39,,,,,,,,,
4.4,80.11,,,,,,,,,
4.5,80.87,,,,,,,,,
4.6,81.77,,,,,,,,,
4.7,82.66,,,,,,,,,
4.8,83.73,,,,,,,,,
4.9,84.77,,,,,,,,,
5,85.82,,,,,,,,,
5.1,86.91,,,,,,,,,
5.2,87.96,,,,,,,,,
5.3,88.95,,,,,,,,,
5.4,89.97,,,,,,,,,
5.5,90.85,,,,,,,,,
5.6,91.8,,,,,,,,,
5.7,92.52,,,,,,,,,
5.8,93.19,,,,,,,,,
5.9,93.76,,,,,,,,,
6,94.42,,,,,,,,,
6.1,94.93,,,,,,,,,
6.2,95.34,,,,,,,,,
6.3,95.72,,,,,,,,,
6.4,96.06,,,,,,,,,
6.5,96.31,,,,,,,,,
6.6,96.59,,,,,,,,,
6.7,96.81,,,,,,,,,
6.8,96.98,,,,,,,,,
6.9,97.22,,,,,,,,,
7,97.34,,,,,,,,,
7.1,97.48,,,,,,,,,
7.2,97.61,,,,,,,,,
7.3,97.74,,,,,,,,,
7.4,97.83,,,,,,,,,
7.5,97.91,,,,,,,,,
7.6,97.96,,,,,,,,,
7.7,98.07,,,,,,,,,
7.8,98.17,,,,,,,,,
7.9,98.25,,,,,,,,,
8,98.35,,,,,,,,,
8.1,98.43,,,,,,,,,
8.2,98.5,,,,,,,,,
8.3,98.54,,,,,,,,,
8.4,98.6,,,,,,,,,
8.5,98.69,,,,,,,,,
8.6,98.75,,,,,,,,,
8.7,98.8,,,,,,,,,
8.8,98.83,,,,,,,,,
8.9,98.89,,,,,,,,,
9,98.93,,,,,,,,,
9.1,98.98,,,,,,,,,
9.2,99,,,,,,,,,
9.3,99.02,,,,,,,,,
9.4,99.04,,,,,,,,,
9.5,99.1,,,,,,,,,
9.6,99.15,,,,,,,,,
9.7,99.19,,,,,,,,,
9.8,99.23,,,,,,,,,
9.9,99.24,,,,,,,,,
10,99.34,,,,,,,,,
11,99.51,,,,,,,,,
12,99.64,,,,,,,,,
13,99.73,,,,,,,,,
14,99.77,,,,,,,,,
15,99.81,,,,,,,,,
16,99.83,,,,,,,,,
17,99.85,,,,,,,,,
18,99.88,,,,,,,,,
19,99.91,,,,,,,,,
22,99.93,,,,,,,,,
23,99.95,,,,,,,,,
24,99.96,,,,,,,,,
26,99.97,,,,,,,,,
28,99.98,,,,,,,,,
30,99.98,,,,,,,,,
36,99.99,,,,,,,,,
160,100,,,,,,,,,
,,,,,,,,,,
Full-Test WAIT Latency,,,,,,,,,,
Latency (<= msec),Percent,,,,,,,,,
