Per-Second Benchmark Data,,,,,,,,,,,
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses, GET Hits,WAIT Requests,WAIT Average Latency,
0,58,0.008464,61734,58,0.008687,556932,0,522,0,0,
1,101,0.004684,107508,100,0.005224,960232,0,900,0,0,
2,114,0.003809,121329,114,0.004912,1094584,0,1026,0,0,
3,117,0.003906,124530,118,0.004599,1133030,0,1062,0,0,
4,135,0.0035,143702,135,0.003903,1296282,0,1215,0,0,
5,131,0.00333,139440,130,0.00431,1248258,0,1170,0,0,
6,125,0.003732,133047,126,0.004211,1209866,0,1134,0,0,
7,126,0.003278,134120,126,0.004629,1209866,0,1134,0,0,
8,155,0.002962,164995,155,0.003446,1488302,0,1395,0,0,
9,151,0.003138,160732,150,0.003497,1440310,0,1350,0,0,
10,119,0.003543,126661,120,0.004763,1152266,0,1080,0,0,
11,129,0.003083,137302,129,0.004643,1237599,1,1160,0,0,
12,137,0.003375,145814,136,0.003926,1305926,0,1224,0,0,
13,135,0.003133,143698,135,0.004239,1296262,0,1215,0,0,
14,145,0.003322,154342,145,0.003556,1391265,1,1304,0,0,
15,144,0.003245,153261,144,0.003643,1382690,0,1296,0,0,
16,139,0.003383,147947,139,0.003791,1333611,1,1250,0,0,
17,139,0.003326,147944,139,0.003878,1334674,0,1251,0,0,
18,147,0.003316,156471,147,0.003454,1411476,0,1323,0,0,
19,151,0.003141,160711,152,0.003412,1459458,0,1368,0,0,
20,142,0.00331,151131,142,0.003728,1363472,0,1278,0,0,
21,168,0.002878,178814,168,0.003034,1613112,0,1512,0,0,
22,158,0.003065,168177,158,0.003242,1517076,0,1422,0,0,
23,153,0.003011,162861,152,0.00353,1459504,0,1368,0,0,
24,151,0.003039,160724,152,0.003515,1459488,0,1368,0,0,
25,155,0.003051,164987,155,0.003396,1488280,0,1395,0,0,
26,158,0.002945,168162,157,0.003363,1507446,0,1413,0,0,
27,149,0.003081,158590,149,0.003602,1430698,0,1341,0,0,
28,156,0.00311,166037,156,0.003267,1497890,0,1404,0,0,
29,156,0.002892,166055,157,0.003476,1507540,0,1413,0,0,
30,152,0.003196,161797,151,0.003383,1449878,0,1359,0,0,
31,146,0.003274,155400,147,0.003532,1411520,0,1323,0,0,
32,141,0.003248,150072,141,0.003801,1353890,0,1269,0,0,
33,149,0.003208,158588,149,0.003495,1430732,0,1341,0,0,
34,157,0.003107,167111,156,0.003248,1497910,0,1404,0,0,
35,140,0.003339,149011,141,0.00374,1353892,0,1269,0,0,
36,156,0.002998,166060,155,0.003418,1488292,0,1395,0,0,
37,162,0.002849,172426,162,0.003267,1555536,0,1458,0,0,
38,153,0.002967,162856,153,0.003577,1469094,0,1377,0,0,
39,155,0.002809,164986,156,0.003572,1497892,0,1404,0,0,
40,139,0.003433,147950,139,0.003755,1334678,0,1251,0,0,
41,157,0.003052,167123,157,0.003294,1507496,0,1413,0,0,
42,147,0.003229,156458,147,0.003547,1411456,0,1323,0,0,
43,152,0.003004,161786,152,0.003538,1458437,1,1367,0,0,
44,151,0.00315,160726,151,0.003449,1449932,0,1359,0,0,
45,151,0.003199,160714,150,0.003422,1439221,1,1349,0,0,
46,146,0.003083,155401,147,0.00369,1411436,0,1323,0,0,
47,151,0.003096,160723,151,0.003512,1449884,0,1359,0,0,
48,147,0.003195,156458,147,0.003572,1411468,0,1323,0,0,
49,156,0.002886,166032,155,0.003521,1488324,0,1395,0,0,
50,153,0.003215,162859,153,0.003298,1469100,0,1377,0,0,
51,142,0.003325,151142,143,0.003663,1373110,0,1287,0,0,
