Per-Second Benchmark Data,,,,,,,,,,
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses, GET Hits,WAIT Requests,WAIT Average Latency
0,61,0.007689,64929,60,0.008769,384286,0,360,0,0
1,96,0.005271,102189,97,0.005089,621270,0,582,0,0
2,117,0.004053,124536,117,0.004467,749354,0,702,0,0
3,112,0.004314,119214,112,0.004592,717314,0,672,0,0
4,129,0.003713,137306,129,0.004006,826174,0,774,0,0
5,138,0.003257,146891,137,0.003987,877450,0,822,0,0
6,133,0.003376,141567,134,0.004083,858242,0,804,0,0
7,143,0.003273,152210,142,0.003687,909454,0,852,0,0
8,151,0.003152,160723,152,0.003451,973514,0,912,0,0
9,153,0.003012,162846,153,0.003502,979930,0,918,0,0
10,160,0.002914,170300,160,0.003314,1024738,0,960,0,0
11,153,0.003085,162854,152,0.003447,973538,0,912,0,0
12,160,0.00301,170294,160,0.003206,1024742,0,960,0,0
13,152,0.003179,161787,152,0.003381,973522,0,912,0,0
14,154,0.003044,163918,154,0.003427,985285,1,923,0,0
15,153,0.003096,162851,154,0.003387,986344,0,924,0,0
16,159,0.002971,169243,158,0.003295,1011938,0,948,0,0
17,144,0.003115,153271,144,0.003816,920152,2,862,0,0
18,169,0.002942,179887,170,0.002945,1088808,0,1020,0,0
19,156,0.003142,166055,155,0.003276,991657,1,929,0,0
20,141,0.003302,150074,142,0.003724,909454,0,852,0,0
21,146,0.00329,155410,146,0.003538,933983,1,875,0,0
22,137,0.003341,145819,136,0.003779,871016,0,816,0,0
23,154,0.003056,163915,154,0.003578,986310,0,924,0,0
24,154,0.003103,163903,154,0.003358,986292,0,924,0,0
25,158,0.003034,168168,159,0.003261,1018342,0,954,0,0
26,154,0.003009,163930,153,0.003493,979892,0,918,0,0
27,157,0.003106,167113,158,0.003211,1011898,0,948,0,0
28,153,0.003136,162860,153,0.003376,979878,0,918,0,0
29,144,0.003498,153269,143,0.003439,915880,0,858,0,0
30,143,0.003088,152209,143,0.003852,915894,0,858,0,0
31,156,0.002787,166044,156,0.003615,999126,0,936,0,0
32,146,0.003151,155399,147,0.003655,941500,0,882,0,0
33,151,0.003008,160717,150,0.003619,959637,1,899,0,0
34,160,0.002962,170294,161,0.003241,1031112,0,966,0,0
35,154,0.003144,163914,154,0.003323,986322,0,924,0,0
36,159,0.002992,169227,158,0.003278,1011920,0,948,0,0
37,149,0.003213,158593,149,0.003495,954302,0,894,0,0
38,152,0.003051,161792,152,0.003501,973528,0,912,0,0
39,153,0.003112,162853,154,0.003365,986316,0,924,0,0
40,158,0.002927,168166,158,0.00337,1011948,0,948,0,0
41,158,0.003046,168166,158,0.003282,1011980,0,948,0,0
42,160,0.002915,170294,159,0.003322,1018338,0,954,0,0
43,144,0.003118,153284,145,0.003771,928696,0,870,0,0
44,155,0.003164,164970,155,0.003273,992738,0,930,0,0
45,147,0.00335,156469,146,0.003458,935072,0,876,0,0
46,164,0.002744,174562,164,0.003324,1050362,0,984,0,0
47,148,0.003156,157529,148,0.00358,947906,0,888,0,0
48,154,0.002833,163907,154,0.003642,986330,0,924,0,0
49,156,0.002822,166040,157,0.003528,1005536,0,942,0,0
50,157,0.00301,167099,156,0.003363,999134,0,936,0,0
51,153,0.00325,162852,154,0.003236,986310,0,924,0,0
52,150,0.00303,159662,150,0.003592,959645,1,899,0,0
53,153,0.003111,162844,153,0.003396,979914,0,918,0,0
54,152,0.00316,161780,151,0.003436,967114,0,906,0,0
55,148,0.00311,157535,149,0.003596,954266,0,894,0,0
56,162,0.002965,172434,161,0.003199,1031158,0,966,0,0
57,154,0.003403,163915,155,0.003058,991649,1,929,0,0
58,153,0.003105,162862,153,0.003398,979938,0,918,0,0
59,158,0.002967,168166,157,0.003365,1004489,1,941,0,0
60,138,0.003604,146881,138,0.003623,883820,0,828,0,0
61,158,0.003119,168168,158,0.003191,1011914,0,948,0,0
62,155,0.003014,164982,156,0.00339,999106,0,936,0,0
63,162,0.002878,172428,162,0.003259,1037560,0,972,0,0
64,162,0.002747,172425,162,0.003398,1037524,0,972,0,0
65,151,0.00314,160726,151,0.003425,967114,0,906,0,0
66,158,0.003071,168172,158,0.003281,1011948,0,948,0,0
67,158,0.003011,168185,157,0.003307,1005556,0,942,0,0
68,146,0.003277,155401,147,0.003532,941508,0,882,0,0
69,158,0.003051,168179,157,0.00328,1005566,0,942,0,0
70,156,0.003027,166032,157,0.003333,1005534,0,942,0,0
71,152,0.003125,161790,151,0.003384,966037,1,905,0,0
72,153,0.003023,162854,153,0.00355,979940,0,918,0,0
73,161,0.003003,171355,162,0.003165,1037558,0,972,0,0
74,151,0.003095,160714,150,0.003512,959645,1,899,0,0
75,151,0.003158,160729,151,0.003467,966021,1,905,0,0
76,157,0.003189,167116,157,0.003153,1005536,0,942,0,0
77,134,0.003451,142646,135,0.00392,864642,0,810,0,0
78,163,0.002863,173504,162,0.003293,1037576,0,972,0,0
79,152,0.00302,161793,152,0.003533,973554,0,912,0,0
80,0,0,0,1,0.003126,6404,0,6,0,0
,152.859154929577,,,152.845070422535,,,,,,
Full-Test GET Latency,,,,,,,,,,
Latency (<= msec),Percent,,,,,,,,,
1.6,0.11,,,11974,11974,,,,,
1.7,0.75,,,,,,,,,
1.8,2.54,,,,,,,,,
1.9,5.95,,,,,,,,,
2,11.04,,,,,,,,,
2.1,17.26,,,,,,,,,
2.2,23.89,,,,,,,,,
2.3,30.32,,,,,,,,,
2.4,36.4,,,,,,,,,
2.5,42.16,,,,,,,,,
2.6,47.27,,,,,,,,,
2.7,51.68,,,,,,,,,
2.8,55.42,,,,,,,,,
2.9,58.7,,,,,,,,,
3,61.51,,,,,,,,,
3.1,63.81,,,,,,,,,
3.2,65.58,,,,,,,,,
3.3,67.44,,,,,,,,,
3.4,68.97,,,,,,,,,
3.5,70.21,,,,,,,,,
3.6,71.22,,,,,,,,,
3.7,72.26,,,,,,,,,
3.8,72.96,,,,,,,,,
3.9,73.61,,,,,,,,,
4,74.19,,,,,,,,,
4.1,74.87,,,,,,,,,
4.2,75.36,,,,,,,,,
4.3,75.9,,,,,,,,,
4.4,76.37,,,,,,,,,
4.5,76.81,,,,,,,,,
4.6,77.31,,,,,,,,,
4.7,77.91,,,,,,,,,
4.8,78.76,,,,,,,,,
4.9,79.61,,,,,,,,,
5,80.76,,,,,,,,,
5.1,81.78,,,,,,,,,
5.2,82.8,,,,,,,,,
5.3,83.9,,,,,,,,,
5.4,84.92,,,,,,,,,
5.5,85.92,,,,,,,,,
5.6,86.93,,,,,,,,,
5.7,87.8,,,,,,,,,
5.8,88.78,,,,,,,,,
5.9,89.77,,,,,,,,,
6,90.5,,,,,,,,,
6.1,91.2,,,,,,,,,
6.2,91.96,,,,,,,,,
6.3,92.69,,,,,,,,,
6.4,93.34,,,,,,,,,
6.5,93.91,,,,,,,,,
6.6,94.44,,,,,,,,,
6.7,94.91,,,,,,,,,
6.8,95.21,,,,,,,,,
6.9,95.47,,,,,,,,,
7,95.73,,,,,,,,,
7.1,96.05,,,,,,,,,
7.2,96.27,,,,,,,,,
7.3,96.48,,,,,,,,,
7.4,96.64,,,,,,,,,
7.5,96.79,,,,,,,,,
7.6,96.94,,,,,,,,,
7.7,97.08,,,,,,,,,
7.8,97.18,,,,,,,,,
7.9,97.3,,,,,,,,,
8,97.46,,,,,,,,,
8.1,97.61,,,,,,,,,
8.2,97.69,,,,,,,,,
8.3,97.78,,,,,,,,,
8.4,97.85,,,,,,,,,
8.5,97.94,,,,,,,,,
8.6,97.98,,,,,,,,,
8.7,98.06,,,,,,,,,
8.8,98.08,,,,,,,,,
8.9,98.14,,,,,,,,,
9,98.17,,,,,,,,,
9.1,98.24,,,,,,,,,
9.2,98.28,,,,,,,,,
9.3,98.34,,,,,,,,,
9.4,98.4,,,,,,,,,
9.5,98.45,,,,,,,,,
9.6,98.53,,,,,,,,,
9.7,98.56,,,,,,,,,
9.8,98.59,,,,,,,,,
9.9,98.65,,,,,,,,,
10,98.88,,,,,,,,,
11,99.18,,,,,,,,,
12,99.38,,,,,,,,,
13,99.54,,,,,,,,,
14,99.63,,,,,,,,,
15,99.7,,,,,,,,,
16,99.74,,,,,,,,,
17,99.77,,,,,,,,,
18,99.82,,,,,,,,,
19,99.85,,,,,,,,,
20,99.88,,,,,,,,,
21,99.92,,,,,,,,,
22,99.96,,,,,,,,,
24,99.97,,,,,,,,,
25,99.97,,,,,,,,,
26,99.98,,,,,,,,,
66,99.99,,,,,,,,,
69,100,,,,,,,,,
,,,,,,,,,,
Full-Test SET Latency,,,,,,,,,,
Latency (<= msec),Percent,,,,,,,,,
1.4,0.35,,,,,,,,,
1.5,1.38,,,,,,,,,
1.6,4.22,,,,,,,,,
1.7,9.24,,,,,,,,,
1.8,15.98,,,,,,,,,
1.9,23.28,,,,,,,,,
2,30.75,,,,,,,,,
2.1,37.27,,,,,,,,,
2.2,42.95,,,,,,,,,
2.3,48.27,,,,,,,,,
2.4,52.54,,,,,,,,,
2.5,56.37,,,,,,,,,
2.6,59.68,,,,,,,,,
2.7,62.42,,,,,,,,,
2.8,64.72,,,,,,,,,
2.9,66.59,,,,,,,,,
3,68.29,,,,,,,,,
3.1,69.69,,,,,,,,,
3.2,70.96,,,,,,,,,
3.3,71.81,,,,,,,,,
3.4,72.8,,,,,,,,,
3.5,73.58,,,,,,,,,
3.6,74.07,,,,,,,,,
3.7,74.68,,,,,,,,,
3.8,75.25,,,,,,,,,
3.9,75.78,,,,,,,,,
4,76.36,,,,,,,,,
4.1,76.93,,,,,,,,,
4.2,77.48,,,,,,,,,
4.3,78.16,,,,,,,,,
4.4,78.94,,,,,,,,,
4.5,79.76,,,,,,,,,
4.6,80.6,,,,,,,,,
4.7,81.62,,,,,,,,,
4.8,82.65,,,,,,,,,
4.9,83.83,,,,,,,,,
5,84.73,,,,,,,,,
5.1,85.95,,,,,,,,,
5.2,87.01,,,,,,,,,
5.3,88.1,,,,,,,,,
5.4,89.19,,,,,,,,,
5.5,90.14,,,,,,,,,
5.6,91,,,,,,,,,
5.7,91.82,,,,,,,,,
5.8,92.48,,,,,,,,,
5.9,93.05,,,,,,,,,
6,93.69,,,,,,,,,
6.1,94.15,,,,,,,,,
6.2,94.7,,,,,,,,,
6.3,95.05,,,,,,,,,
6.4,95.45,,,,,,,,,
6.5,95.86,,,,,,,,,
6.6,96.16,,,,,,,,,
6.7,96.35,,,,,,,,,
6.8,96.53,,,,,,,,,
6.9,96.75,,,,,,,,,
7,96.98,,,,,,,,,
7.1,97.17,,,,,,,,,
7.2,97.31,,,,,,,,,
7.3,97.49,,,,,,,,,
7.4,97.58,,,,,,,,,
7.5,97.68,,,,,,,,,
7.6,97.73,,,,,,,,,
7.7,97.8,,,,,,,,,
7.8,97.88,,,,,,,,,
7.9,97.94,,,,,,,,,
8,98.02,,,,,,,,,
8.1,98.1,,,,,,,,,
8.2,98.22,,,,,,,,,
8.3,98.29,,,,,,,,,
8.4,98.37,,,,,,,,,
8.5,98.41,,,,,,,,,
8.6,98.46,,,,,,,,,
8.7,98.5,,,,,,,,,
8.8,98.55,,,,,,,,,
8.9,98.63,,,,,,,,,
9,98.68,,,,,,,,,
9.1,98.72,,,,,,,,,
9.2,98.75,,,,,,,,,
9.3,98.79,,,,,,,,,
9.4,98.82,,,,,,,,,
9.5,98.83,,,,,,,,,
9.6,98.91,,,,,,,,,
9.7,98.94,,,,,,,,,
9.8,98.96,,,,,,,,,
9.9,99,,,,,,,,,
10,99.14,,,,,,,,,
11,99.4,,,,,,,,,
12,99.52,,,,,,,,,
13,99.57,,,,,,,,,
14,99.64,,,,,,,,,
15,99.69,,,,,,,,,
16,99.76,,,,,,,,,
17,99.79,,,,,,,,,
18,99.85,,,,,,,,,
19,99.89,,,,,,,,,
20,99.9,,,,,,,,,
23,99.91,,,,,,,,,
24,99.92,,,,,,,,,
25,99.92,,,,,,,,,
26,99.93,,,,,,,,,
28,99.95,,,,,,,,,
33,99.97,,,,,,,,,
39,99.97,,,,,,,,,
43,99.98,,,,,,,,,
44,99.99,,,,,,,,,
68,100,,,,,,,,,
,,,,,,,,,,
Full-Test WAIT Latency,,,,,,,,,,
Latency (<= msec),Percent,,,,,,,,,
