Per-Second Benchmark Data,,,,,,,,,,,
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses, GET Hits,WAIT Requests,WAIT Average Latency,
0,80,0.005859,85151,80,0.006571,768184,0,720,0,0,
1,98,0.004726,104310,98,0.005428,941022,0,882,0,0,
2,112,0.003897,119200,112,0.005046,1075380,0,1008,0,0,
3,114,0.003959,121339,113,0.004646,1085014,0,1017,0,0,
4,128,0.003705,136255,129,0.004218,1238666,0,1161,0,0,
5,136,0.003212,144760,136,0.004103,1305880,0,1224,0,0,
6,125,0.003678,133051,124,0.004344,1190654,0,1116,0,0,
7,138,0.003224,146889,139,0.003956,1334698,0,1251,0,0,
8,150,0.003416,159672,149,0.003236,1430690,0,1341,0,0,
9,146,0.003155,155412,146,0.003686,1401900,0,1314,0,0,
10,142,0.003143,151135,143,0.003844,1373100,0,1287,0,0,
11,158,0.003063,168171,157,0.003263,1506483,1,1412,0,0,
12,161,0.002778,171366,161,0.003381,1545976,0,1449,0,0,
13,157,0.002973,167114,158,0.003365,1516051,1,1421,0,0,
14,164,0.003029,174554,164,0.003047,1574766,0,1476,0,0,
15,151,0.003078,160719,150,0.003529,1439215,1,1349,0,0,
16,156,0.002981,166036,157,0.003384,1507500,0,1413,0,0,
17,158,0.002873,168175,157,0.003435,1507498,0,1413,0,0,
18,141,0.003399,150074,141,0.003709,1353840,0,1269,0,0,
19,160,0.002881,170284,161,0.003297,1545916,0,1449,0,0,
20,146,0.003141,155402,145,0.003726,1392256,0,1305,0,0,
21,159,0.002803,169245,160,0.003444,1536286,0,1440,0,0,
22,152,0.003299,161794,151,0.003267,1449908,0,1359,0,0,
23,150,0.003197,159662,150,0.003451,1440276,0,1350,0,0,
24,154,0.002956,163920,154,0.003512,1478686,0,1386,0,0,
25,157,0.002883,167099,158,0.00343,1517046,0,1422,0,0,
26,159,0.00291,169236,158,0.003373,1517106,0,1422,0,0,
27,160,0.002812,170291,160,0.00343,1536298,0,1440,0,0,
28,154,0.003022,163928,154,0.003447,1478730,0,1386,0,0,
29,151,0.00298,160731,152,0.003593,1459488,0,1368,0,0,
30,156,0.002931,166045,155,0.003465,1488338,0,1395,0,0,
31,165,0.00275,175611,165,0.003293,1584340,0,1485,0,0,
32,151,0.003093,160724,151,0.003508,1449940,0,1359,0,0,
33,156,0.003057,166044,156,0.003325,1497914,0,1404,0,0,
34,162,0.002857,172438,163,0.003241,1565116,0,1467,0,0,
35,154,0.003099,163921,153,0.003403,1469108,0,1377,0,0,
36,160,0.002977,170294,160,0.00324,1536312,0,1440,0,0,
37,160,0.002991,170313,160,0.003256,1536320,0,1440,0,0,
38,157,0.002988,167117,158,0.003334,1517108,0,1422,0,0,
39,165,0.002917,175632,164,0.003137,1574700,0,1476,0,0,
40,126,0.004574,134110,127,0.00332,1219412,0,1143,0,0,
41,162,0.002876,172430,161,0.003294,1544871,1,1448,0,0,
42,168,0.002699,178812,169,0.003205,1622752,0,1521,0,0,
43,160,0.002873,170297,159,0.003353,1525639,1,1430,0,0,
44,167,0.002763,177756,168,0.003205,1613088,0,1512,0,0,
45,157,0.003004,167108,156,0.003343,1497892,0,1404,0,0,
46,162,0.002819,172422,163,0.003314,1565094,0,1467,0,0,
47,165,0.00276,175614,165,0.003261,1584352,0,1485,0,0,
48,159,0.00308,169245,158,0.003204,1517108,0,1422,0,0,
49,163,0.002874,173498,164,0.003224,1574772,0,1476,0,0,
50,163,0.002917,173495,163,0.003198,1565142,0,1467,0,0,
51,132,0.002868,140504,131,0.004725,1257860,0,1179,0,0,
52,160,0.002945,170309,161,0.003268,1545970,0,1449,0,0,
53,171,0.002751,182000,171,0.003068,1641940,0,1539,0,0,
54,156,0.002879,166035,156,0.003513,1497914,0,1404,0,0,
55,157,0.002987,167107,156,0.003369,1497942,0,1404,0,0,
56,164,0.002714,174558,164,0.003363,1574734,0,1476,0,0,
57,153,0.0029,162860,154,0.003574,1477719,1,1385,0,0,
58,165,0.002816,175626,164,0.003255,1574740,0,1476,0,0,
59,166,0.002639,176683,167,0.003335,1603540,0,1503,0,0,
60,155,0.003089,164977,154,0.003346,1478682,0,1386,0,0,
61,159,0.002776,169231,160,0.003482,1536328,0,1440,0,0,
62,144,0.003126,153264,143,0.003803,1373062,0,1287,0,0,
63,138,0.0035,146892,139,0.003668,1334668,0,1251,0,0,
64,152,0.002924,161784,151,0.003682,1449874,0,1359,0,0,
65,159,0.002877,169224,160,0.003369,1534184,2,1438,0,0,
66,164,0.002941,174555,163,0.003115,1564077,1,1466,0,0,
67,150,0.003158,159666,150,0.003523,1440290,0,1350,0,0,
68,161,0.002928,171362,161,0.003257,1545908,0,1449,0,0,
69,148,0.003106,157537,149,0.003595,1430734,0,1341,0,0,
70,150,0.00311,159664,150,0.003535,1439259,1,1349,0,0,
71,158,0.002779,168177,157,0.003552,1506475,1,1412,0,0,
72,156,0.002776,166045,157,0.003576,1505424,2,1411,0,0,
73,154,0.002935,163916,153,0.003559,1469116,0,1377,0,0,
74,141,0.003229,150071,142,0.003805,1363528,0,1278,0,0,
75,168,0.002702,178828,167,0.003232,1602565,1,1502,0,0,
76,164,0.002799,174550,165,0.003262,1583327,1,1484,0,0,
77,164,0.002785,174570,164,0.003294,1574704,0,1476,0,0,
78,160,0.002774,170295,160,0.003441,1536310,0,1440,0,0,
79,153,0.002954,162862,153,0.003535,1469120,0,1377,0,0,
80,1,0.007431,1064,0,0,0,0,0,0,0,
,154.985915492958,,,154.971830985916,,,,,,,
Full-Test GET Latency,,,,,,,,,,,
Latency (<= msec),Percent,,,,,,,,,,
1.6,0.01,,,12178,12177,,,,,,
1.7,0.02,,,,,,,,,,
1.8,0.21,,,,,,,,,,
1.9,0.9,,,,,,,,,,
2,2.73,,,,,,,,,,
2.1,5.69,,,,,,,,,,
2.2,10.46,,,,,,,,,,
2.3,16.45,,,,,,,,,,
2.4,22.88,,,,,,,,,,
2.5,29.97,,,,,,,,,,
2.6,36.63,,,,,,,,,,
2.7,42.97,,,,,,,,,,
2.8,49.27,,,,,,,,,,
2.9,54.42,,,,,,,,,,
3,59.12,,,12178,12177,,13037,13037,,15145,15145
3.1,62.89,,,12351,12350,,13278,13278,,15407,15406
3.2,65.85,,,24529,24527,,26315,26315,,30552,30551
3.3,68.8,,,24237,24237,,24960,24959,,30115,30114
3.4,71.27,,,24597,24597,,25972,25970,,29150,29148
3.5,73.05,,,24454.3333333333,24453.6666666667,,25749,25748,,29939,29937.6666666667
3.6,74.59,,,22061,22059.6666666667,,22227.3333333333,22226.3333333333,,27850.6666666667,27850
3.7,76.05,,,46515.3333333333,46513.3333333334,,47976.3333333333,47974.3333333333,,57789.6666666667,57787.6666666667
3.8,77.24,,,,,,,,,,
3.9,78.17,,,16151,16151,,,,,,
4,79.06,,,16612,16611,,,,,,
4.1,79.83,,,32763,32762,,,,,,
4.2,80.37,,,33275,33274,,,,,,
4.3,80.77,,,32123,32123,,,,,,
4.4,81.32,,,32720.3333333333,32719.6666666667,,,,,,
4.5,81.68,,,30608.3333333333,30607,,,,,,
4.6,82.14,,,63328.6666666666,63326.6666666667,,,,,,
4.7,82.57,,,,,,,,,,
4.8,83.09,,,,,,,,,,
4.9,83.4,,,,,,,,,,
5,83.89,,,,,,,,,,
5.1,84.56,,,,,,,,,,
5.2,85.2,,,,,,,,,,
5.3,85.78,,,,,,,,,,
5.4,86.58,,,,,,,,,,
5.5,87.36,,,,,,,,,,
5.6,88.16,,,,,,,,,,
5.7,89.02,,,,,,,,,,
5.8,89.94,,,,,,,,,,
5.9,90.57,,,,,,,,,,
6,91.29,,,,,,,,,,
6.1,91.99,,,,,,,,,,
6.2,92.63,,,,,,,,,,
6.3,93.27,,,,,,,,,,
6.4,93.84,,,,,,,,,,
6.5,94.33,,,,,,,,,,
6.6,94.75,,,,,,,,,,
6.7,95.2,,,,,,,,,,
6.8,95.57,,,,,,,,,,
6.9,95.88,,,,,,,,,,
7,96.17,,,,,,,,,,
7.1,96.43,,,,,,,,,,
7.2,96.64,,,,,,,,,,
7.3,96.87,,,,,,,,,,
7.4,97.05,,,,,,,,,,
7.5,97.27,,,,,,,,,,
7.6,97.41,,,,,,,,,,
7.7,97.58,,,,,,,,,,
7.8,97.65,,,,,,,,,,
7.9,97.79,,,,,,,,,,
8,97.9,,,,,,,,,,
8.1,98.05,,,,,,,,,,
8.2,98.15,,,,,,,,,,
8.3,98.28,,,,,,,,,,
8.4,98.32,,,,,,,,,,
8.5,98.4,,,,,,,,,,
8.6,98.43,,,,,,,,,,
8.7,98.47,,,,,,,,,,
8.8,98.51,,,,,,,,,,
8.9,98.53,,,,,,,,,,
9,98.6,,,,,,,,,,
9.1,98.64,,,,,,,,,,
9.2,98.69,,,,,,,,,,
9.3,98.74,,,,,,,,,,
9.4,98.78,,,,,,,,,,
9.5,98.83,,,,,,,,,,
9.6,98.87,,,,,,,,,,
9.7,98.91,,,,,,,,,,
9.8,98.96,,,,,,,,,,
9.9,98.97,,,,,,,,,,
10,99.15,,,,,,,,,,
11,99.36,,,,,,,,,,
12,99.52,,,,,,,,,,
13,99.69,,,,,,,,,,
14,99.76,,,,,,,,,,
15,99.78,,,,,,,,,,
16,99.8,,,,,,,,,,
17,99.84,,,,,,,,,,
18,99.88,,,,,,,,,,
19,99.89,,,,,,,,,,
20,99.9,,,,,,,,,,
21,99.93,,,,,,,,,,
22,99.93,,,,,,,,,,
23,99.95,,,,,,,,,,
25,99.96,,,,,,,,,,
26,99.97,,,,,,,,,,
27,99.98,,,,,,,,,,
28,99.98,,,,,,,,,,
29,99.99,,,,,,,,,,
180,100,,,,,,,,,,
,,,,,,,,,,,
Full-Test SET Latency,,,,,,,,,,,
Latency (<= msec),Percent,,,,,,,,,,
1.3,0.03,,,,,,,,,,
1.4,0.4,,,,,,,,,,
1.5,1.42,,,,,,,,,,
1.6,3.79,,,,,,,,,,
1.7,7.96,,,,,,,,,,
1.8,13.34,,,,,,,,,,
1.9,19.92,,,,,,,,,,
2,27.07,,,,,,,,,,
2.1,34.23,,,,,,,,,,
