S1 Load	S2 Load	S3 Load
5576	5576	5576
5443	5443	5443
5640	5640	5640
5548	5548	5548
5497	5497	5497
5519	5519	5519
5603	5603	5603
5455	5455	5455
5459	5459	5459
5551	5551	5551
5440	5440	5440
5507	5507	5507
5457	5457	5457
5511	5511	5511
5583	5583	5583
5534	5534	5534
5558	5558	5558
5551	5551	5551
5461	5461	5461
5540	5540	5540
5560	5560	5560
5587	5587	5587
5498	5498	5498
5560	5560	5560
5517	5517	5517
5516	5516	5516
5495	5495	5495
5494	5494	5494
5573	5573	5573
5570	5570	5570
5601	5601	5601
5605	5605	5605
5550	5550	5550
5612	5612	5612
5573	5573	5573
5516	5516	5516
5477	5477	5477
5674	5674	5674
5553	5553	5553
5546	5546	5546
5609	5609	5609
5606	5606	5606
5487	5487	5487
5676	5676	5676
5488	5488	5488
5534	5534	5534
5410	5410	5410
5463	5463	5463
5565	5565	5565
5469	5469	5469
5498	5498	5498
5560	5560	5560
5532	5532	5532
5590	5590	5590
5529	5529	5529
5487	5487	5487
5539	5539	5539
5538	5538	5538
5488	5488	5488
5485	5485	5485
5555	5555	5555
5582	5582	5582
5524	5524	5524
5469	5469	5469
