S1 Load	S2 Load	S3 Load
5568	5568	5568
5576	5576	5576
5626	5626	5626
5674	5674	5674
5614	5614	5614
5547	5547	5547
5576	5576	5576
5522	5522	5522
5588	5588	5588
5521	5521	5521
5667	5667	5667
5649	5649	5649
5496	5496	5496
5560	5560	5560
5500	5500	5500
5654	5654	5654
5568	5568	5568
5650	5650	5650
5556	5556	5556
5537	5537	5537
5597	5597	5597
5577	5577	5577
5599	5599	5599
5624	5624	5624
5605	5605	5605
5629	5629	5629
5605	5605	5605
5680	5680	5680
5520	5520	5520
5664	5664	5664
5641	5641	5641
5549	5549	5549
5548	5548	5548
5632	5632	5632
5620	5620	5620
5658	5658	5658
5583	5583	5583
5588	5588	5588
5621	5621	5621
5586	5586	5586
5649	5649	5649
5634	5634	5634
5466	5466	5466
5498	5498	5498
5594	5594	5594
5591	5591	5591
5608	5608	5608
5567	5567	5567
5590	5590	5590
5614	5614	5614
5566	5566	5566
5647	5647	5647
5568	5568	5568
5658	5658	5658
5651	5651	5651
5684	5684	5684
5611	5611	5611
5548	5548	5548
5540	5540	5540
5561	5561	5561
5562	5562	5562
5590	5590	5590
5511	5511	5511
5549	5549	5549
