S1 Load	S2 Load	S3 Load
5104	5104	5104
5102	5102	5102
5068	5068	5068
5003	5003	5003
5045	5045	5045
4971	4971	4971
5081	5081	5081
5082	5082	5082
5094	5094	5094
5058	5058	5058
4987	4987	4987
4978	4978	4978
5022	5022	5022
5011	5011	5011
4943	4943	4943
5023	5023	5023
5048	5048	5048
5104	5104	5104
5035	5035	5035
4992	4992	4992
5051	5051	5051
4996	4996	4996
4967	4967	4967
5042	5042	5042
5146	5146	5146
5034	5034	5034
4957	4957	4957
5051	5051	5051
5057	5057	5057
5210	5210	5210
5020	5020	5020
5071	5071	5071
5106	5106	5106
5123	5123	5123
4974	4974	4974
4960	4960	4960
4995	4995	4995
4877	4877	4877
4956	4956	4956
5025	5025	5025
5140	5140	5140
5008	5008	5008
4952	4952	4952
4971	4971	4971
5087	5087	5087
5055	5055	5055
5004	5004	5004
5072	5072	5072
5074	5074	5074
5030	5030	5030
5085	5085	5085
5036	5036	5036
5117	5117	5117
4973	4973	4973
5050	5050	5050
4988	4988	4988
5068	5068	5068
4925	4925	4925
5017	5017	5017
5000	5000	5000
4988	4988	4988
5087	5087	5087
5005	5005	5005
5088	5088	5088
