S1 Load	S2 Load	S3 Load
5486	5486	5486
5392	5392	5392
5490	5490	5490
5513	5513	5513
5573	5573	5573
5537	5537	5537
5501	5501	5501
5378	5378	5378
5489	5489	5489
5507	5507	5507
5453	5453	5453
5513	5513	5513
5474	5474	5474
5523	5523	5523
5361	5361	5361
5608	5608	5608
5495	5495	5495
5406	5406	5406
5509	5509	5509
5518	5518	5518
5422	5422	5422
5516	5516	5516
5545	5545	5545
5451	5451	5451
5528	5528	5528
5463	5463	5463
5433	5433	5433
5457	5457	5457
5546	5546	5546
5561	5561	5561
5508	5508	5508
5409	5409	5409
5470	5470	5470
5536	5536	5536
5476	5476	5476
5591	5591	5591
5568	5568	5568
5474	5474	5474
5532	5532	5532
5398	5398	5398
5500	5500	5500
5494	5494	5494
5506	5506	5506
5437	5437	5437
5419	5419	5419
5477	5477	5477
5405	5405	5405
5605	5605	5605
5526	5526	5526
5465	5465	5465
5421	5421	5421
5458	5458	5458
5420	5420	5420
5451	5451	5451
5506	5506	5506
5501	5501	5501
5519	5519	5519
5560	5560	5560
5421	5421	5421
5528	5528	5528
5561	5561	5561
5409	5409	5409
5428	5428	5428
5451	5451	5451
