S1 Load	S2 Load	S3 Load
5384	5384	5384
5367	5367	5367
5278	5278	5278
5319	5319	5319
5330	5330	5330
5293	5293	5293
5295	5295	5295
5379	5379	5379
5248	5248	5248
5391	5391	5391
5228	5228	5228
5209	5209	5209
5429	5429	5429
5372	5372	5372
5279	5279	5279
5333	5333	5333
5302	5302	5302
5282	5282	5282
5367	5367	5367
5328	5328	5328
5304	5304	5304
5282	5282	5282
5271	5271	5271
5252	5252	5252
5252	5252	5252
5291	5291	5291
5362	5362	5362
5323	5323	5323
5281	5281	5281
5374	5374	5374
5386	5386	5386
5430	5430	5430
5318	5318	5318
5344	5344	5344
5235	5235	5235
5358	5358	5358
5290	5290	5290
5412	5412	5412
5313	5313	5313
5366	5366	5366
5267	5267	5267
5368	5368	5368
5289	5289	5289
5214	5214	5214
5377	5377	5377
5393	5393	5393
5257	5257	5257
5496	5496	5496
5271	5271	5271
5373	5373	5373
5448	5448	5448
5384	5384	5384
5332	5332	5332
5313	5313	5313
5334	5334	5334
5339	5339	5339
5301	5301	5301
5251	5251	5251
5439	5439	5439
5309	5309	5309
5172	5172	5172
5493	5493	5493
5346	5346	5346
5364	5364	5364
