S1 Load	S2 Load	S3 Load
3520	3520	3520
3489	3489	3489
3448	3448	3448
3407	3407	3407
3367	3367	3367
3492	3492	3492
3416	3416	3416
3415	3415	3415
3438	3438	3438
3470	3470	3470
3469	3469	3469
3435	3435	3435
3416	3416	3416
3545	3545	3545
3532	3532	3532
3321	3321	3321
3448	3448	3448
3409	3409	3409
3354	3354	3354
3408	3408	3408
3442	3442	3442
3368	3368	3368
3415	3415	3415
3359	3359	3359
3406	3406	3406
3427	3427	3427
3378	3378	3378
3494	3494	3494
3336	3336	3336
3482	3482	3482
3477	3477	3477
3514	3514	3514
3495	3495	3495
3515	3515	3515
3424	3424	3424
3321	3321	3321
3489	3489	3489
3383	3383	3383
3410	3410	3410
3429	3429	3429
3451	3451	3451
3446	3446	3446
3426	3426	3426
3451	3451	3451
3349	3349	3349
3455	3455	3455
3448	3448	3448
3440	3440	3440
3357	3357	3357
3465	3465	3465
3461	3461	3461
3506	3506	3506
3415	3415	3415
3477	3477	3477
3467	3467	3467
3384	3384	3384
3444	3444	3444
3443	3443	3443
3437	3437	3437
3412	3412	3412
3423	3423	3423
3484	3484	3484
3418	3418	3418
3417	3417	3417
