S1 Load	S2 Load	S3 Load
3304	3304	3304
3340	3340	3340
3343	3343	3343
3373	3373	3373
3360	3360	3360
3390	3390	3390
3345	3345	3345
3335	3335	3335
3326	3326	3326
3377	3377	3377
3417	3417	3417
3376	3376	3376
3340	3340	3340
3302	3302	3302
3422	3422	3422
3403	3403	3403
3306	3306	3306
3401	3401	3401
3366	3366	3366
3393	3393	3393
3371	3371	3371
3319	3319	3319
3281	3281	3281
3364	3364	3364
3375	3375	3375
3332	3332	3332
3345	3345	3345
3310	3310	3310
3389	3389	3389
3451	3451	3451
3425	3425	3425
3294	3294	3294
3298	3298	3298
3351	3351	3351
3451	3451	3451
3354	3354	3354
3347	3347	3347
3352	3352	3352
3362	3362	3362
3368	3368	3368
3365	3365	3365
3351	3351	3351
3345	3345	3345
3303	3303	3303
3370	3370	3370
3350	3350	3350
3418	3418	3418
3366	3366	3366
3354	3354	3354
3335	3335	3335
3302	3302	3302
3342	3342	3342
3369	3369	3369
3365	3365	3365
3378	3378	3378
3350	3350	3350
3314	3314	3314
3288	3288	3288
3379	3379	3379
3316	3316	3316
3361	3361	3361
3327	3327	3327
3376	3376	3376
3322	3322	3322
