Clients	Avg	Std Dev
6	1258602.91784	31743.2153806
24	1860934.56338	31660.1530292
48	2836568.99822	31148.4265951
72	3646932.28283	170522.061004
96	5354960.37478	1332090.04484
120	5557545.30161	71549.1211601
144	6636040.33803	236710.476161
168	7474518.53052	474502.432573
192	9379980.30517	190870.951063
