Clients	Avg	Std Dev
6	1275357.53176	41906.4324377
24	1910502.99433	37751.5949969
48	3157708.25822	134418.376734
72	4441370.01365	320953.633452
96	5825271.70057	163102.425074
120	7033521.80986	462444.472226
144	9251948.94463	230282.375513
168	11468204.3568	561841.052844
192	13264032.2981	470087.95067
