Clients	Avg	Std Dev
6	1230821.94772	11751.1906685
24	1926981.44212	25075.4350265
48	2854895.35215	93532.7053776
72	3697761.38498	140676.041084
96	4599840.13709	136078.781587
120	5177246.10731	196080.311617
144	7902029.43009	3258548.56211
168	7123327.77458	128311.472398
192	7775876.67207	43635.1077339
