S1 Load	S2 Load	S3 Load
512	505	486
545	509	499
502	530	540
523	504	541
526	504	515
522	525	485
566	476	539
539	525	494
465	530	496
491	508	526
522	521	497
526	479	497
550	536	517
495	499	508
512	512	537
513	504	535
526	525	504
521	543	537
520	533	513
510	530	534
507	502	573
490	537	502
541	513	518
536	518	516
531	521	527
506	531	570
530	542	530
492	482	504
531	535	520
492	518	521
511	518	502
472	509	543
491	517	497
525	523	487
517	524	489
533	503	534
497	505	529
514	499	517
525	511	525
537	484	485
480	494	486
554	499	522
512	501	526
532	531	514
509	516	532
523	531	489
503	536	571
562	541	493
483	507	539
534	536	519
492	499	520
505	523	522
532	517	529
554	525	486
509	555	545
541	510	521
504	498	482
516	546	510
510	530	498
498	517	540
510	528	522
516	493	522
531	575	521
516	492	492

AVG: 517.03125	517.03125	517.03125
