S1 Load	S2 Load	S3 Load
544	469	507
483	462	508
514	501	491
522	490	520
478	511	488
488	528	496
478	482	549
446	497	523
500	502	502
531	507	493
482	546	535
528	525	517
484	476	511
539	493	506
502	484	527
487	505	505
505	530	528
487	523	498
507	532	507
509	465	530
534	521	487
545	503	501
503	492	518
529	550	493
503	500	505
518	497	503
509	461	523
508	545	487
466	514	501
502	501	514
479	520	537
509	547	472
511	515	587
496	508	496
522	502	507
490	503	505
487	533	496
493	511	536
479	506	482
478	529	486
522	500	450
539	479	518
505	520	513
473	494	480
499	529	492
500	501	473
472	515	502
524	508	529
487	479	526
516	479	498
510	519	482
542	502	499
501	481	517
485	508	498
512	485	508
481	524	488
531	497	467
537	478	510
550	517	490
542	543	513
478	497	512
524	508	499
534	475	497
509	524	509

AVG: 505.4375	505.4375	505.421875
