Per-Second Benchmark Data,,,,,,,,,,
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses, GET Hits,WAIT Requests,WAIT Average Latency
0,82,0.005864,87280,82,0.006287,88212,0,82,0,0
1,143,0.003639,152211,143,0.003351,153852,0,143,0,0
2,136,0.003749,144763,135,0.003484,145244,0,135,0,0
3,163,0.003302,173493,164,0.002902,176432,0,164,0,0
4,176,0.002938,187333,175,0.002728,188272,0,175,0,0
5,178,0.002904,189454,179,0.002693,192546,0,179,0,0
6,210,0.002517,223517,209,0.002248,224840,0,209,0,0
7,208,0.002386,221401,208,0.002402,223748,0,208,0,0
8,213,0.00246,226704,214,0.002219,230216,0,214,0,0
9,216,0.002511,229911,216,0.002102,232368,0,216,0,0
10,217,0.002524,230960,217,0.00207,233446,0,217,0,0
11,217,0.002349,230969,216,0.002255,232366,0,216,0,0
12,225,0.002359,239486,226,0.002063,243144,0,226,0,0
13,216,0.002496,229912,215,0.002124,231302,0,215,0,0
14,221,0.002252,235242,222,0.002247,238800,0,222,0,0
15,193,0.002774,205434,193,0.002391,207624,0,193,0,0
16,212,0.00248,225654,211,0.002205,226986,0,211,0,0
17,202,0.002564,215009,203,0.002381,218388,0,203,0,0
18,216,0.002419,229919,215,0.002209,231284,0,215,0,0
19,210,0.002534,223520,210,0.002213,225912,0,210,0,0
20,195,0.002763,207554,195,0.002351,209770,0,195,0,0
21,205,0.002501,218183,205,0.002358,220534,0,205,0,0
22,185,0.00279,196921,185,0.002602,199010,0,185,0,0
23,200,0.002521,212896,200,0.002469,215164,0,200,0,0
24,209,0.00259,222462,210,0.002167,225904,0,210,0,0
25,220,0.002325,234163,220,0.002203,236666,0,220,0,0
26,210,0.002435,223516,209,0.002314,223787,1,208,0,0
27,217,0.002428,230976,217,0.002141,233452,0,217,0,0
28,208,0.002592,221405,209,0.002205,224832,0,209,0,0
29,226,0.002321,240553,226,0.002089,243122,0,226,0,0
30,205,0.002614,218191,204,0.002268,219478,0,204,0,0
31,201,0.002804,213943,201,0.002156,216228,0,201,0,0
32,200,0.002567,212876,200,0.002412,214089,1,199,0,0
33,225,0.002246,239480,226,0.002178,243136,0,226,0,0
34,212,0.002481,225645,212,0.002223,228072,0,212,0,0
35,205,0.002529,218180,205,0.002328,220530,0,205,0,0
36,225,0.002346,239484,225,0.002092,242036,0,225,0,0
37,171,0.002451,182006,170,0.003392,182894,0,170,0,0
38,199,0.00268,211813,200,0.002313,215166,0,200,0,0
39,232,0.002319,246949,232,0.00199,249568,0,232,0,0
40,229,0.002318,243752,229,0.002028,246342,0,229,0,0
41,207,0.002385,220320,207,0.002435,222684,0,207,0,0
42,230,0.002319,244802,230,0.00201,247430,0,230,0,0
43,194,0.002536,206493,194,0.002585,208700,0,194,0,0
44,212,0.002597,225630,212,0.002124,228070,0,212,0,0
45,210,0.002619,223507,210,0.002128,225910,0,210,0,0
46,216,0.002459,229901,215,0.002168,231302,0,215,0,0
47,217,0.002439,230961,218,0.002117,234508,0,218,0,0
48,229,0.00232,243738,229,0.002051,246322,0,229,0,0
49,201,0.002513,213957,200,0.002459,215138,0,200,0,0
50,210,0.002536,223535,211,0.002193,226976,0,211,0,0
51,209,0.002388,222450,209,0.002383,224838,0,209,0,0
52,197,0.00259,209681,196,0.002486,210848,0,196,0,0
53,207,0.002545,220342,207,0.002267,222670,0,207,0,0
54,190,0.002566,202237,191,0.002671,205474,0,191,0,0
55,215,0.002452,228840,215,0.002178,231288,0,215,0,0
56,226,0.002235,240560,226,0.002176,243120,0,226,0,0
57,227,0.002386,241635,227,0.001984,244208,0,227,0,0
58,215,0.002579,228837,214,0.002075,230214,0,214,0,0
59,223,0.002349,237356,223,0.002114,239906,0,223,0,0
