Clients	Avg	Std Dev
6	64212.7357143	2849.85376159
24	317482.840778	6211.62050913
48	1829733.72066	55972.6858156
72	5113959.35325	399628.498132
96	8649412.1185	134179.028486
120	12244288.5446	71269.1559352
144	16170571.3043	425803.945348
168	19939024.6461	570959.229359
192	24039175.6793	229623.445501
