Clients	Avg	Std Dev
6	60743.2632126	4945.1148223
24	183264.299229	247.529177433
48	417657.424883	37962.7967702
72	767120.769953	17740.9334712
96	1142365.59007	44036.5583847
120	1456615.98856	108227.666307
144	3104191.26429	2306482.59464
168	2351126.48367	144415.899949
192	2649088.94865	50512.0910573
