Per-Second Benchmark Data,,,,,,,,,,
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses, GET Hits,WAIT Requests,WAIT Average Latency
0,54,0.00987,57480,54,0.008613,345852,0,324,0,0
1,92,0.004544,97930,92,0.006255,589252,0,552,0,0
2,104,0.004891,110700,103,0.004772,659690,0,618,0,0
3,110,0.004223,117083,110,0.004833,704496,0,660,0,0
4,120,0.003974,127719,120,0.004338,768572,0,720,0,0
5,132,0.003544,140510,132,0.004015,845398,0,792,0,0
6,125,0.003858,133051,125,0.004091,800580,0,750,0,0
7,98,0.00621,104317,99,0.003932,634070,0,594,0,0
8,98,0.006483,104308,98,0.003731,627652,0,588,0,0
9,140,0.003729,149018,139,0.003402,890256,0,834,0,0
10,125,0.004239,133047,125,0.003754,800596,0,750,0,0
11,143,0.003675,152207,143,0.003252,915866,0,858,0,0
12,150,0.003133,159655,150,0.003557,960708,0,900,0,0
13,83,0.005446,88344,84,0.006489,538024,0,504,0,0
14,126,0.003728,134106,126,0.004188,806972,0,756,0,0
15,159,0.003208,169235,158,0.003065,1011950,0,948,0,0
16,152,0.003012,161790,153,0.003521,978879,1,917,0,0
17,155,0.002965,164979,155,0.003482,992746,0,930,0,0
18,155,0.003042,164985,155,0.003384,992728,0,930,0,0
19,141,0.003831,150077,140,0.003262,895593,1,839,0,0
20,141,0.003504,150086,142,0.003396,909490,0,852,0,0
21,124,0.00465,131993,123,0.003531,787752,0,738,0,0
22,125,0.00413,133041,125,0.003858,800572,0,750,0,0
23,144,0.003611,153277,144,0.003337,921185,1,863,0,0
24,133,0.004067,141573,134,0.003371,858194,0,804,0,0
25,147,0.003215,156463,147,0.003581,941484,0,882,0,0
26,138,0.003414,146879,137,0.003811,877418,0,822,0,0
27,146,0.003346,155396,147,0.003491,941468,0,882,0,0
28,143,0.00298,152200,142,0.00402,909446,0,852,0,0
29,158,0.003064,168189,158,0.003207,1011928,0,948,0,0
30,121,0.004277,128791,121,0.003988,774944,0,726,0,0
31,161,0.003227,171374,161,0.002963,1031094,0,966,0,0
32,121,0.003363,128793,122,0.004826,781384,0,732,0,0
33,124,0.003236,131986,124,0.004806,794192,0,744,0,0
34,118,0.004254,125592,118,0.004217,755754,0,708,0,0
35,140,0.003631,149019,139,0.003511,890260,0,834,0,0
36,139,0.003821,147942,139,0.003342,890264,0,834,0,0
37,133,0.003116,141560,134,0.004358,858210,0,804,0,0
38,150,0.003481,159651,150,0.003161,960660,0,900,0,0
39,137,0.003882,145821,137,0.003401,877448,0,822,0,0
40,119,0.004516,126654,119,0.003855,762126,0,714,0,0
41,142,0.003318,151139,142,0.003426,909474,0,852,0,0
42,101,0.006941,107501,101,0.003308,646884,0,606,0,0
43,147,0.003081,156474,147,0.003472,941498,0,882,0,0
44,150,0.003556,159659,149,0.003315,954282,0,894,0,0
45,110,0.003049,117075,111,0.00366,710940,0,666,0,0
46,131,0.005435,139433,131,0.00416,839054,0,786,0,0
47,153,0.00331,162843,152,0.003221,973514,0,912,0,0
48,150,0.002961,159667,150,0.003673,960706,0,900,0,0
49,125,0.004118,133039,126,0.003847,807008,0,756,0,0
50,99,0.003999,105368,99,0.006041,634064,0,594,0,0
51,178,0.003055,189464,178,0.002563,1140008,0,1068,0,0
52,171,0.002699,182022,171,0.003094,1095212,0,1026,0,0
53,147,0.003575,156457,146,0.003209,935096,0,876,0,0
54,133,0.003684,141555,134,0.003831,858240,0,804,0,0
55,162,0.003261,172418,162,0.002897,1037562,0,972,0,0
56,106,0.003697,112825,105,0.005019,672478,0,630,0,0
57,137,0.003123,145822,137,0.004715,877434,0,822,0,0
58,113,0.003933,120278,113,0.004174,723730,0,678,0,0
59,125,0.003541,133049,126,0.005016,806994,0,756,0,0
60,139,0.003544,147946,139,0.003651,890264,0,834,0,0
61,142,0.003553,151135,141,0.003471,903052,0,846,0,0
62,136,0.004023,144762,136,0.0033,870980,0,816,0,0
63,163,0.003265,173490,163,0.002838,1043984,0,978,0,0
64,125,0.003477,133055,125,0.004513,799515,1,749,0,0
65,162,0.00309,172438,163,0.003057,1043986,0,978,0,0
66,162,0.003141,172424,162,0.003014,1036495,1,971,0,0
67,163,0.003034,173490,163,0.003072,1043948,0,978,0,0
68,151,0.003114,160724,151,0.003469,967068,0,906,0,0
69,145,0.003028,154340,144,0.003886,922256,0,864,0,0
70,145,0.003447,154330,146,0.003399,935066,0,876,0,0
71,127,0.003973,135171,126,0.003906,806992,0,756,0,0
72,110,0.004435,117088,111,0.004608,710910,0,666,0,0
73,136,0.00387,144761,136,0.003457,871042,0,816,0,0
74,139,0.003778,147950,138,0.003418,883862,0,828,0,0
75,135,0.003122,143700,135,0.004247,864634,0,810,0,0
76,126,0.004472,134114,126,0.003434,807020,0,756,0,0
77,130,0.004193,138372,130,0.003453,832640,0,780,0,0
78,117,0.004426,124522,117,0.004123,749334,0,702,0,0
79,126,0.003998,134114,127,0.003896,813386,0,762,0,0
80,1,0.001965,1064,0,0,0,0,0,0,0
,136.676056338028,,,136.676056338028,,,,,,
Full-Test GET Latency,,,,,,,,,,
Latency (<= msec),Percent,,,,,,,,,
0.96,0.01,,,10684,10683,,,,,
0.98,0.04,,,,,,,,,
0.99,0.05,,,,,,,,,
1,0.14,,,,,,,,,
1.1,0.65,,,,,,,,,
1.2,1.96,,,,,,,,,
1.3,4.39,,,,,,,,,
1.4,8.28,,,,,,,,,
1.5,13.66,,,,,,,,,
1.6,18.95,,,,,,,,,
1.7,25.35,,,,,,,,,
1.8,30.85,,,,,,,,,
1.9,36.21,,,,,,,,,
2,40.42,,,,,,,,,
2.1,44.07,,,,,,,,,
2.2,47.34,,,,,,,,,
2.3,50.26,,,,,,,,,
2.4,52.8,,,,,,,,,
2.5,54.8,,,,,,,,,
2.6,56.44,,,,,,,,,
2.7,57.88,,,,,,,,,
2.8,59.08,,,,,,,,,
2.9,60.62,,,,,,,,,
3,61.82,,,,,,,,,
3.1,62.7,,,,,,,,,
3.2,63.5,,,,,,,,,
3.3,64.48,,,,,,,,,
3.4,65.07,,,,,,,,,
3.5,65.84,,,,,,,,,
3.6,66.43,,,,,,,,,
3.7,67.07,,,,,,,,,
3.8,67.59,,,,,,,,,
3.9,68.23,,,,,,,,,
4,68.96,,,,,,,,,
4.1,69.72,,,,,,,,,
4.2,70.29,,,,,,,,,
4.3,70.96,,,,,,,,,
4.4,71.47,,,,,,,,,
4.5,72.07,,,,,,,,,
4.6,72.62,,,,,,,,,
4.7,73.25,,,,,,,,,
4.8,73.89,,,,,,,,,
4.9,74.57,,,,,,,,,
5,75.2,,,,,,,,,
5.1,75.91,,,,,,,,,
5.2,76.76,,,,,,,,,
5.3,77.48,,,,,,,,,
5.4,78.19,,,,,,,,,
5.5,78.88,,,,,,,,,
5.6,79.69,,,,,,,,,
5.7,80.44,,,,,,,,,
5.8,81.24,,,,,,,,,
5.9,82.03,,,,,,,,,
6,82.9,,,,,,,,,
6.1,83.76,,,,,,,,,
6.2,84.55,,,,,,,,,
6.3,85.44,,,,,,,,,
6.4,86.25,,,,,,,,,
6.5,87.07,,,,,,,,,
6.6,87.8,,,,,,,,,
6.7,88.64,,,,,,,,,
6.8,89.28,,,,,,,,,
6.9,89.89,,,,,,,,,
7,90.73,,,,,,,,,
7.1,91.36,,,,,,,,,
7.2,91.93,,,,,,,,,
7.3,92.53,,,,,,,,,
7.4,93.04,,,,,,,,,
7.5,93.49,,,,,,,,,
7.6,93.9,,,,,,,,,
7.7,94.36,,,,,,,,,
7.8,94.8,,,,,,,,,
