Per-Second Benchmark Data,,,,,,,,,,
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses, GET Hits,WAIT Requests,WAIT Average Latency
0,47,0.009807,50030,47,0.008,150736,0,141,0,0
1,101,0.006306,107503,101,0.005153,323938,0,303,0,0
2,113,0.004,120273,112,0.004856,359236,0,336,0,0
3,97,0.006298,103253,98,0.003961,314332,0,294,0,0
4,135,0.00365,143696,134,0.00377,429754,0,402,0,0
5,163,0.00315,173503,164,0.00294,525998,0,492,0,0
6,140,0.003754,149011,139,0.00338,445820,0,417,0,0
7,169,0.003006,179888,169,0.002912,542044,0,507,0,0
8,174,0.002767,185200,175,0.002935,561304,0,525,0,0
9,155,0.003359,164983,154,0.003086,493922,0,462,0,0
10,181,0.002761,192662,182,0.002505,583732,0,546,0,0
11,142,0.003788,151152,141,0.003549,452246,0,423,0,0
12,164,0.003175,174561,165,0.002892,529194,0,495,0,0
13,163,0.003197,173489,162,0.00293,519592,0,486,0,0
14,161,0.003255,171367,161,0.002931,516382,0,483,0,0
15,161,0.003221,171373,161,0.002939,516376,0,483,0,0
16,165,0.002936,175610,166,0.003127,532420,0,498,0,0
17,146,0.003451,155394,145,0.003379,465076,0,435,0,0
18,150,0.002871,159662,151,0.002818,484294,0,453,0,0
19,187,0.003623,199040,187,0.002455,599792,0,561,0,0
20,175,0.002983,186258,174,0.002747,558090,0,522,0,0
21,166,0.002994,176691,166,0.003003,532420,0,498,0,0
22,177,0.003066,188400,178,0.00256,570920,0,534,0,0
23,171,0.003058,182007,171,0.002745,548456,0,513,0,0
24,116,0.004367,123468,116,0.004226,372046,0,348,0,0
25,170,0.002856,180940,170,0.003004,544179,1,509,0,0
26,180,0.002886,191583,179,0.002669,574144,0,537,0,0
27,148,0.002957,157529,149,0.003767,477888,0,447,0,0
28,149,0.003082,158593,149,0.003337,477900,0,447,0,0
29,114,0.004468,121336,114,0.004615,365642,0,342,0,0
30,162,0.003124,172419,161,0.003072,516382,0,483,0,0
31,182,0.002713,193707,183,0.002678,585903,1,548,0,0
32,158,0.003575,168170,157,0.002831,503546,0,471,0,0
33,142,0.00408,151133,143,0.002909,458656,0,429,0,0
34,112,0.003243,119212,111,0.00492,356016,0,333,0,0
35,156,0.003247,166043,156,0.00371,500318,0,468,0,0
36,161,0.00304,171371,161,0.003164,516350,0,483,0,0
37,152,0.003262,161779,153,0.00325,490722,0,459,0,0
38,157,0.003353,167103,156,0.003026,500334,0,468,0,0
39,181,0.002943,192665,181,0.002562,580502,0,543,0,0
40,168,0.002942,178821,168,0.002995,538812,0,504,0,0
41,169,0.003107,179893,169,0.002782,542036,0,507,0,0
42,179,0.002877,190524,180,0.002643,577322,0,540,0,0
43,175,0.002817,186275,174,0.00293,558050,0,522,0,0
44,162,0.003093,172425,163,0.003032,522792,0,489,0,0
45,168,0.002959,178832,167,0.002986,535642,0,501,0,0
