Clients	Avg	Std Dev
6	2180.47619047	26.3960817026
24	5562.26190476	33.4622673071
48	7194.35714286	113.541250259
72	7708.39047619	89.0644255867
96	8222.76666667	358.709871207
120	8599.99047619	214.970449479
144	8842.07142858	48.074287751
168	8884.96190476	145.030728157
192	9170.62448461	137.00349167
