Clients	Avg	Std Dev
6	2116.56190476	35.544253345
24	5369.23333333	78.1935384545
48	6472.51904762	132.170042248
72	7156.86666667	307.651159902
96	7276.03809524	124.609728983
120	7832.28571428	114.357255287
144	7775.78095238	89.6817153505
168	7682.24285714	351.267268151
192	7566.11428571	538.08816382
